c:\dev\meae_xai\version5_supervised\.venv\Lib\site-packages\torch\nn\utils\weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)

[05 겹침 그림] C16_seed42 (에폭 236) · test 1620분절
 구간       분절  상위백분위  corr_noisy  corr_복원  RMSE_noisy  RMSE_복원  SNR_noisy  SNR_복원    dSNR  주입SNR_bw  주입SNR_ma  주입SNR_em
상위1 103_0046   0.06      0.8325   0.9772      0.2143   0.0762     3.2321 12.2134  8.9813   11.6879    7.6201    7.9063
상위2 103_0054   0.12      0.7681   0.9754      0.2709   0.0719     1.2117 12.7283 11.5167    4.9226    7.1024   10.2853
상위3 103_0002   0.19      0.8757   0.9744      0.1661   0.0743     5.4037 12.3843  6.9806    8.8616    9.3719   11.2275
상위4 103_0084   0.25      0.8371   0.9735      0.2268   0.0826     3.0827 11.8551  8.7724    6.5885   11.2024    5.3623
중간1 101_0092  50.12      0.6831   0.9021      0.3000   0.1050    -2.2966  6.8199  9.1165    2.1416    3.5645    1.8098
중간2 101_0054  50.06      0.8222   0.9025      0.1943   0.1067     2.0100  7.2167  5.2067    6.9810    4.8514    2.7240
중간3 103_0126  50.00      0.5373   0.9027      0.4830   0.1456    -3.9916  6.4249 10.4164    3.5322    0.6618    4.1268
중간4 101_0149  49.94      0.6285   0.9029      0.2619   0.1018    -1.5372  6.6678  8.2050    7.4628    4.5453    0.7078
하위1 111_0119 100.00      0.5378   0.3919      1.5105   1.0507    -3.2311 -0.0779  3.1532    0.1224    2.8243    3.4002
하위2 103_0109  99.94      0.5035   0.4819      1.0855   0.7778    -1.8136  1.0821  2.8957    8.2200    1.6589    0.6456
하위3 111_0005  99.88      0.5211   0.5261      0.3477   0.2459    -1.6808  1.3272  3.0080    3.9590    2.1267    2.9224
하위4 111_0136  99.81      0.6538   0.5503      0.3229   0.3572     1.5336  0.6551 -0.8785    5.3457    8.8262   10.0782
산출물 → results/05_figure/C16_seed42/test/
