기록,분절,박동위치,ST60_mV__x_clean(참값),ST80_mV__x_clean(참값),QT_ms__x_clean(참값),QTc_ms__x_clean(참값),R진폭_mV__x_clean(참값),QRS면적_mVms__x_clean(참값),ST60_mV__x_noisy(처리전),ST80_mV__x_noisy(처리전),QT_ms__x_noisy(처리전),QTc_ms__x_noisy(처리전),R진폭_mV__x_noisy(처리전),QRS면적_mVms__x_noisy(처리전),ST60_mV__B재구성(처리후),ST80_mV__B재구성(처리후),QT_ms__B재구성(처리후),QTc_ms__B재구성(처리후),R진폭_mV__B재구성(처리후),QRS면적_mVms__B재구성(처리후),ST60_mV_참값,ST60_mV_처리전,ST60_mV_처리후,ST80_mV_참값,ST80_mV_처리전,ST80_mV_처리후,QT_ms_참값,QT_ms_처리전,QT_ms_처리후,QTc_ms_참값,QTc_ms_처리전,QTc_ms_처리후,R진폭_mV_참값,R진폭_mV_처리전,R진폭_mV_처리후,QRS면적_mVms_참값,QRS면적_mVms_처리전,QRS면적_mVms_처리후
100,0,370,-0.06167,-0.07167,236.11111,,1.28333,31.72222,-0.15892,-0.15557,177.77778,,1.28787,32.67838,0.02417,0.04975,500.0,,1.41483,37.30215,-0.06167,-0.09725,0.08584,-0.07167,-0.0839,0.12141,236.11111,-58.33333,263.88889,,,,1.28333,0.00454,0.1315,31.72222,0.95616,5.57993
100,0,663,-0.027,-0.047,202.77778,224.76972,1.338,26.68611,-0.0868,-0.10991,194.44444,215.53261,1.31347,27.85252,-0.00269,0.01046,461.11111,511.12018,1.31227,37.1304,-0.027,-0.0598,0.02431,-0.047,-0.06291,0.05746,202.77778,-8.33333,258.33333,224.76972,-9.23711,286.35046,1.338,-0.02453,-0.02573,26.68611,1.1664,10.44428
100,0,947,0.02167,0.02167,388.88889,437.8422,1.28167,27.58333,0.0938,0.05821,161.11111,181.39177,1.35846,30.55185,0.05404,0.08322,500.0,562.93997,1.52018,38.17456,0.02167,0.07214,0.03237,0.02167,0.03655,0.06155,388.88889,-227.77778,111.11111,437.8422,-256.45043,125.09777,1.28167,0.07679,0.23852,27.58333,2.96852,10.59123
100,0,1231,-0.02667,-0.03667,136.11111,153.24477,1.18833,24.14815,-0.05207,-0.04453,136.11111,153.24477,1.17744,24.96055,0.02121,0.03224,494.44444,556.68508,1.40743,34.68104,-0.02667,-0.0254,0.04787,-0.03667,-0.00786,0.06891,136.11111,0.0,358.33333,153.24477,0.0,403.44031,1.18833,-0.01089,0.21909,24.14815,0.81241,10.53289
100,0,1515,-0.047,-0.047,233.33333,262.70532,1.248,25.71389,-0.05257,-0.04313,155.55556,175.13688,1.30823,26.93078,0.02056,0.02961,433.33333,487.88131,1.35484,35.6146,-0.047,-0.00557,0.06756,-0.047,0.00387,0.07661,233.33333,-77.77778,200.0,262.70532,-87.56844,225.17599,1.248,0.06023,0.10684,25.71389,1.21689,9.90071
100,0,1809,-0.048,-0.058,202.77778,224.38713,1.292,27.86667,-0.19202,-0.19295,219.44444,242.82991,1.21264,31.56773,-0.04463,-0.03505,480.55556,531.76676,1.57284,41.25052,-0.048,-0.14402,0.00337,-0.058,-0.13495,0.02295,202.77778,16.66667,277.77778,224.38713,18.44278,307.37963,1.292,-0.07936,0.28084,27.86667,3.70107,13.38386
100,0,2045,-0.04067,-0.02567,194.44444,240.15453,1.23933,26.9463,-0.01304,0.06487,411.11111,507.7553,1.23402,26.73717,-0.00804,0.00715,552.77778,682.72503,1.26732,32.36126,-0.04067,0.02763,0.03263,-0.02567,0.09054,0.03282,194.44444,216.66667,358.33333,240.15453,267.60077,442.5705,1.23933,-0.00532,0.02799,26.9463,-0.20913,5.41497
100,0,2403,-0.01633,-0.03633,200.0,200.55788,1.29367,29.67685,-0.0815,-0.10472,205.55556,206.12893,1.2277,31.40821,-0.00761,0.03213,494.44444,495.82365,1.2693,32.84421,-0.01633,-0.06517,0.00872,-0.03633,-0.06839,0.06846,200.0,5.55556,294.44444,200.55788,5.57105,295.26577,1.29367,-0.06597,-0.02437,29.67685,1.73136,3.16736
100,0,2706,-0.013,-0.018,244.44444,266.44655,1.272,27.59167,0.19465,0.07888,163.88889,178.6403,1.29128,29.64899,-0.0096,0.01672,483.33333,526.8375,1.26124,33.47044,-0.013,0.20765,0.0034,-0.018,0.09688,0.03472,244.44444,-80.55556,238.88889,266.44655,-87.80625,260.39095,1.272,0.01928,-0.01076,27.59167,2.05732,5.87878
100,0,2998,-0.04267,-0.03767,227.77778,252.91301,1.27233,25.79907,-0.13066,-0.15993,200.0,222.06996,1.26441,28.33258,0.05684,0.08339,,,1.38829,35.076,-0.04267,-0.08799,0.0995,-0.03767,-0.12226,0.12105,227.77778,-27.77778,,252.91301,-30.84305,,1.27233,-0.00792,0.11596,25.79907,2.5335,9.27693
