순위,분절,분절점수,인코더,참조,corr,rmse_norm,mad
1,114_0043,0.9151,enc1,x_clean,0.8997,0.4478,1.2762
1,114_0043,0.9151,enc1,bw,0.312,1.1731,7.0692
1,114_0043,0.9151,enc1,ma,0.2705,1.2079,7.233
1,114_0043,0.9151,enc1,em,0.0551,1.3747,7.3142
1,114_0043,0.9151,enc2,x_clean,0.0087,1.4204,7.8295
1,114_0043,0.9151,enc2,bw,0.9513,0.3122,1.0606
1,114_0043,0.9151,enc2,ma,0.794,0.6418,2.5644
1,114_0043,0.9151,enc2,em,0.1812,1.2797,4.7983
1,114_0043,0.9151,enc3,x_clean,0.0134,1.4236,7.7478
1,114_0043,0.9151,enc3,bw,0.7629,0.6886,1.6952
1,114_0043,0.9151,enc3,ma,0.9174,0.4065,2.0702
1,114_0043,0.9151,enc3,em,0.1317,1.3178,3.642
1,114_0043,0.9151,enc4,x_clean,0.0047,1.4176,7.2129
1,114_0043,0.9151,enc4,bw,0.088,1.3505,4.7519
1,114_0043,0.9151,enc4,ma,0.0813,1.3555,4.2286
1,114_0043,0.9151,enc4,em,0.892,0.4648,1.8351
2,114_0098,0.8931,enc1,x_clean,0.9459,0.329,2.3913
2,114_0098,0.8931,enc1,bw,0.1012,1.3408,6.5778
2,114_0098,0.8931,enc1,ma,0.0534,1.3759,6.0942
2,114_0098,0.8931,enc1,em,0.1547,1.3002,6.3628
2,114_0098,0.8931,enc2,x_clean,0.0787,1.3574,6.8047
2,114_0098,0.8931,enc2,bw,0.8905,0.4679,1.2397
2,114_0098,0.8931,enc2,ma,0.2724,1.5953,4.1447
2,114_0098,0.8931,enc2,em,0.2163,1.252,3.9023
2,114_0098,0.8931,enc3,x_clean,0.0335,1.4377,6.5917
2,114_0098,0.8931,enc3,bw,0.1862,1.5403,3.868
2,114_0098,0.8931,enc3,ma,0.8761,0.4979,2.2523
2,114_0098,0.8931,enc3,em,0.0769,1.4676,4.289
2,114_0098,0.8931,enc4,x_clean,0.0581,1.3725,6.3043
2,114_0098,0.8931,enc4,bw,0.2683,1.2097,4.4123
2,114_0098,0.8931,enc4,ma,0.0073,1.4194,4.5131
2,114_0098,0.8931,enc4,em,0.86,0.5292,2.2045
3,114_0176,0.8762,enc1,x_clean,0.942,0.3406,1.4298
3,114_0176,0.8762,enc1,bw,0.0826,1.3545,6.6897
3,114_0176,0.8762,enc1,ma,0.0821,1.3549,6.8746
3,114_0176,0.8762,enc1,em,0.1173,1.3287,6.7583
3,114_0176,0.8762,enc2,x_clean,0.207,1.2593,6.4239
3,114_0176,0.8762,enc2,bw,0.9042,0.4378,1.0898
3,114_0176,0.8762,enc2,ma,0.7087,0.7633,2.231
3,114_0176,0.8762,enc2,em,0.4011,1.0944,4.4663
3,114_0176,0.8762,enc3,x_clean,0.1615,1.295,6.1231
3,114_0176,0.8762,enc3,bw,0.7218,0.7459,1.9559
3,114_0176,0.8762,enc3,ma,0.9094,0.4257,1.5244
3,114_0176,0.8762,enc3,em,0.2733,1.2056,4.673
3,114_0176,0.8762,enc4,x_clean,0.1905,1.2724,6.9768
3,114_0176,0.8762,enc4,bw,0.7048,0.7683,2.5683
3,114_0176,0.8762,enc4,ma,0.5538,0.9447,3.0605
3,114_0176,0.8762,enc4,em,0.7493,0.708,3.5866
