순위,분절,분절점수,인코더,참조,corr,rmse_norm,mad
1,114_0016,0.918,enc1,x_clean,0.9578,0.2905,1.1282
1,114_0016,0.918,enc1,bw,0.1702,1.2883,8.5423
1,114_0016,0.918,enc1,ma,0.0968,1.344,8.0227
1,114_0016,0.918,enc1,em,0.0979,1.3432,7.789
1,114_0016,0.918,enc2,x_clean,0.0676,1.3656,8.3228
1,114_0016,0.918,enc2,bw,0.9703,0.2439,0.7401
1,114_0016,0.918,enc2,ma,0.5444,0.9545,4.6216
1,114_0016,0.918,enc2,em,0.3039,1.1799,3.7358
1,114_0016,0.918,enc3,x_clean,0.0686,1.4619,8.2841
1,114_0016,0.918,enc3,bw,0.5461,0.9528,3.4513
1,114_0016,0.918,enc3,ma,0.8859,0.4777,2.5158
1,114_0016,0.918,enc3,em,0.2282,1.2424,4.2037
1,114_0016,0.918,enc4,x_clean,0.0066,1.4188,8.0773
1,114_0016,0.918,enc4,bw,0.2365,1.2357,4.3031
1,114_0016,0.918,enc4,ma,0.1593,1.2967,4.6834
1,114_0016,0.918,enc4,em,0.8578,0.5332,2.0819
2,114_0043,0.9133,enc1,x_clean,0.8906,0.4678,1.4144
2,114_0043,0.9133,enc1,bw,0.3687,1.1236,6.4694
2,114_0043,0.9133,enc1,ma,0.3389,1.1499,6.6826
2,114_0043,0.9133,enc1,em,0.0579,1.3726,7.1367
2,114_0043,0.9133,enc2,x_clean,0.0038,1.4169,8.2371
2,114_0043,0.9133,enc2,bw,0.9393,0.3485,1.3763
2,114_0043,0.9133,enc2,ma,0.8066,0.6219,3.4208
2,114_0043,0.9133,enc2,em,0.1794,1.2811,4.4604
2,114_0043,0.9133,enc3,x_clean,0.0259,1.4324,7.9942
2,114_0043,0.9133,enc3,bw,0.8034,0.627,2.1239
2,114_0043,0.9133,enc3,ma,0.9207,0.3982,1.8307
2,114_0043,0.9133,enc3,em,0.2293,1.2415,3.4053
2,114_0043,0.9133,enc4,x_clean,0.0243,1.4313,7.9509
2,114_0043,0.9133,enc4,bw,0.1215,1.3255,4.8353
2,114_0043,0.9133,enc4,ma,0.1449,1.3077,4.2798
2,114_0043,0.9133,enc4,em,0.9028,0.441,1.6498
3,114_0098,0.9009,enc1,x_clean,0.946,0.3286,1.6262
3,114_0098,0.9009,enc1,bw,0.1105,1.3338,6.4329
3,114_0098,0.9009,enc1,ma,0.079,1.3572,5.6654
3,114_0098,0.9009,enc1,em,0.1658,1.2917,6.3764
3,114_0098,0.9009,enc2,x_clean,0.0931,1.3468,6.8981
3,114_0098,0.9009,enc2,bw,0.903,0.4404,1.231
3,114_0098,0.9009,enc2,ma,0.3426,1.6387,4.2908
3,114_0098,0.9009,enc2,em,0.168,1.2899,4.1234
3,114_0098,0.9009,enc3,x_clean,0.0337,1.4379,6.7573
3,114_0098,0.9009,enc3,bw,0.1457,1.5137,4.3385
3,114_0098,0.9009,enc3,ma,0.8596,0.5298,2.3868
3,114_0098,0.9009,enc3,em,0.0337,1.4379,5.3593
3,114_0098,0.9009,enc4,x_clean,0.0866,1.3516,6.1913
3,114_0098,0.9009,enc4,bw,0.3219,1.1646,5.0883
3,114_0098,0.9009,enc4,ma,0.0315,1.4363,4.2584
3,114_0098,0.9009,enc4,em,0.8948,0.4588,2.4276
