epoch,train_total,train_recon,train_sup,train_sup_wave,train_sup_diff,train_sup_diff2,train_sup_freq,train_sup_e1,train_sup_e2,train_sup_e3,train_sup_e4,val_recon,val_sup,val_sup_e1,val_sup_e2,val_sup_e3,val_sup_e4,S,argmax_k,lr,sec,rho_e0,rho_e1,rho_e2,rho_e3
1,0.5628902685383091,0.2790099764647691,0.2838802925594475,0.0802825331363989,0.004071955304939563,0.008883001446678385,0.060909247430770294,0.0,0.2838802925594475,0.0,0.0,0.08537711769386575,0.02320967674255371,0.0,0.02320967674255371,0.0,0.0,0.19966661930084229,2.0,0.001,3.9548299312591553,0.0824909433722496,0.07907670736312866,0.19966661930084229,0.15001633763313293
2,0.14857337267502493,0.10128814338342003,0.04728523091129635,0.04039741194118624,0.00013775637964262506,0.0002131337931369553,0.025427916370656178,0.0,0.04728523091129635,0.0,0.0,0.04595398943865741,0.019792481660842895,0.0,0.019792481660842895,0.0,0.0,0.4017660319805145,2.0,0.001,3.3998847007751465,0.2502062916755676,0.10351628810167313,0.4017660319805145,0.3098582923412323
3,0.11060555700374686,0.0667437723149424,0.04386178468880446,0.03706659870627134,0.0001359037218524305,0.00021043241545355514,0.022453661036232243,0.0,0.04386178468880446,0.0,0.0,0.03719374321831597,0.01947962443033854,0.0,0.01947962443033854,0.0,0.0,,,0.001,3.3524982929229736,,,,
4,0.10278111728637115,0.059733949925588524,0.04304716736078262,0.03635804338947586,0.00013378248189363384,0.00020721704640891403,0.0216478052670541,0.0,0.04304716736078262,0.0,0.0,0.02847790889033565,0.01813574234644572,0.0,0.01813574234644572,0.0,0.0,0.5710442662239075,2.0,0.001,3.401613712310791,0.3034754991531372,0.0975545272231102,0.5710442662239075,0.3511365056037903
5,0.08382478485936704,0.04220093430384346,0.041623850393554436,0.03494173936221911,0.00013364221788082352,0.00020714053560210311,0.020635153693349464,0.0,0.041623850393554436,0.0,0.0,0.022025004069010416,0.01794706702232361,0.0,0.01794706702232361,0.0,0.0,,,0.001,3.342458963394165,,,,
6,0.0787911823262339,0.03792353233565455,0.040867650314517646,0.034262271193058594,0.00013210757827872166,0.00020516018633750954,0.019822551747379097,0.0,0.040867650314517646,0.0,0.0,0.02152454517505787,0.01726891835530599,0.0,0.01726891835530599,0.0,0.0,0.7117152810096741,2.0,0.001,3.4064338207244873,0.2679732143878937,0.08065303415060043,0.7117152810096741,0.36146414279937744
7,0.07240509841105212,0.03171719618789528,0.04068790165626485,0.034043226229107895,0.00013289351804617226,0.00020608577735560095,0.01981647798548574,0.0,0.04068790165626485,0.0,0.0,0.015005564145688658,0.016957682371139527,0.0,0.016957682371139527,0.0,0.0,,,0.001,3.351233720779419,,,,
8,0.06955151324686797,0.029651195539728455,0.0399003174641858,0.033355242694201676,0.0001309014990946035,0.00020345041032313654,0.01908028972051714,0.0,0.0399003174641858,0.0,0.0,0.013647655797887731,0.017541537682215374,0.0,0.017541537682215374,0.0,0.0,0.7586972117424011,2.0,0.001,3.404924154281616,0.25179776549339294,0.07370647042989731,0.7586972117424011,0.39208707213401794
9,0.06958678218981494,0.029476672006042107,0.040110109778849976,0.03355189072697059,0.0001311643822903178,0.00020404334076295567,0.019380857155698795,0.0,0.040110109778849976,0.0,0.0,0.012465559895833334,0.01721478859583537,0.0,0.01721478859583537,0.0,0.0,,,0.001,3.3606183528900146,,,,
10,0.066404291631087,0.026802783022108284,0.039601508527994156,0.033081663529510086,0.00013039689909656653,0.00020276710489744565,0.019233073593805664,0.0,0.039601508527994156,0.0,0.0,0.01302398410373264,0.017074918349583943,0.0,0.017074918349583943,0.0,0.0,0.7816622853279114,2.0,0.001,3.4069740772247314,0.24897059798240662,0.06859306991100311,0.7816622853279114,0.4188779294490814
