순위,분절,분절점수,인코더,참조,corr,rmse_norm,mad
1,201_0163,0.8112,enc1,x_clean,0.1165,1.3293,6.5969
1,201_0163,0.8112,enc1,bw,0.7885,0.6504,2.1497
1,201_0163,0.8112,enc1,ma,0.8391,0.5674,2.2729
1,201_0163,0.8112,enc1,em,0.5082,0.9917,3.2681
1,201_0163,0.8112,enc2,x_clean,0.0328,1.3908,7.0527
1,201_0163,0.8112,enc2,bw,0.8982,0.4513,1.2836
1,201_0163,0.8112,enc2,ma,0.8407,0.5644,1.6996
1,201_0163,0.8112,enc2,em,0.6853,0.7933,2.4836
1,201_0163,0.8112,enc3,x_clean,0.7602,0.6925,3.8689
1,201_0163,0.8112,enc3,bw,0.3085,1.176,7.7503
1,201_0163,0.8112,enc3,ma,0.2777,1.2019,7.989
1,201_0163,0.8112,enc3,em,0.3187,1.1673,7.858
1,201_0163,0.8112,enc4,x_clean,0.4517,1.0472,5.5911
1,201_0163,0.8112,enc4,bw,0.6654,0.818,3.2471
1,201_0163,0.8112,enc4,ma,0.6545,0.8313,3.1829
1,201_0163,0.8112,enc4,em,0.7457,0.7132,3.2285
2,114_0177,0.7757,enc1,x_clean,0.6649,0.8187,2.7041
2,114_0177,0.7757,enc1,bw,0.774,0.6723,2.0387
2,114_0177,0.7757,enc1,ma,0.4282,1.6901,4.9201
2,114_0177,0.7757,enc1,em,0.4732,1.0264,2.5895
2,114_0177,0.7757,enc2,x_clean,0.8621,0.5252,2.1582
2,114_0177,0.7757,enc2,bw,0.893,0.4627,1.2372
2,114_0177,0.7757,enc2,ma,0.6365,1.8091,4.5918
2,114_0177,0.7757,enc2,em,0.5358,0.9635,3.2819
2,114_0177,0.7757,enc3,x_clean,0.6034,0.8907,4.1442
2,114_0177,0.7757,enc3,bw,0.5569,0.9414,5.7527
2,114_0177,0.7757,enc3,ma,0.3201,1.6249,7.1231
2,114_0177,0.7757,enc3,em,0.348,1.1419,5.6544
2,114_0177,0.7757,enc4,x_clean,0.8104,0.6158,2.0365
2,114_0177,0.7757,enc4,bw,0.7743,0.6719,1.7317
2,114_0177,0.7757,enc4,ma,0.4393,1.6966,4.0178
2,114_0177,0.7757,enc4,em,0.7112,0.7601,2.4256
3,123_0085,0.7741,enc1,x_clean,0.1792,1.2812,8.7851
3,123_0085,0.7741,enc1,bw,0.862,0.5254,1.9807
3,123_0085,0.7741,enc1,ma,0.674,0.8075,4.1981
3,123_0085,0.7741,enc1,em,0.7075,0.7648,2.5985
3,123_0085,0.7741,enc2,x_clean,0.0096,1.421,8.693
3,123_0085,0.7741,enc2,bw,0.9181,0.4048,1.0428
3,123_0085,0.7741,enc2,ma,0.6928,0.7838,4.8961
3,123_0085,0.7741,enc2,em,0.7275,0.7382,2.0626
3,123_0085,0.7741,enc3,x_clean,0.7581,0.6955,5.1795
3,123_0085,0.7741,enc3,bw,0.1668,1.2909,10.8466
3,123_0085,0.7741,enc3,ma,0.1589,1.297,11.3107
3,123_0085,0.7741,enc3,em,0.1448,1.3079,10.2008
3,123_0085,0.7741,enc4,x_clean,0.4182,1.0787,8.484
3,123_0085,0.7741,enc4,bw,0.4119,1.0845,5.9738
3,123_0085,0.7741,enc4,ma,0.4942,1.0058,4.8516
3,123_0085,0.7741,enc4,em,0.4263,1.0712,5.9295
