구간,분절수,방식,SNR_dB,dSNR_vs_입력,PRD,corr,RMSE
SNR < -2,127,B 심장직접,-4.8006,-1.7243,173.793,0.2137,0.4655
SNR < -2,127,a 입력 x_noisy,-2.8439,0.0,138.7378,0.5933,0.3597
SNR < -2,127,대역통과 0.5-40Hz,2.3309,5.3488,76.4637,0.7698,0.1916
SNR < -2,127,웨이블릿 임계값,-2.8062,0.0342,138.1375,0.5883,0.3584
SNR < -2,127,웨이블릿+기저선제거,3.7767,6.7684,64.7392,0.7962,0.1505
SNR < -2,127,A 성분차감,-11.0404,-7.8598,356.4694,0.4331,0.8462
SNR < -2,127,C 마스킹디코드,-4.8006,-1.7243,173.793,0.2137,0.4655
SNR < -2,127,b M0 재구성,-2.5225,0.338,133.6983,0.5977,0.3427
"SNR [-2, 0)",236,B 심장직접,-3.4615,-2.6629,148.9625,0.2298,0.4829
"SNR [-2, 0)",236,a 입력 x_noisy,-0.8653,0.0,110.4755,0.6706,0.3239
"SNR [-2, 0)",236,대역통과 0.5-40Hz,3.4704,4.0627,67.0636,0.7928,0.1695
"SNR [-2, 0)",236,웨이블릿 임계값,-0.8044,0.0443,109.703,0.6672,0.3225
"SNR [-2, 0)",236,웨이블릿+기저선제거,4.4016,5.2716,60.2445,0.8083,0.1485
"SNR [-2, 0)",236,A 성분차감,-11.0467,-9.8718,356.7277,0.4727,0.9329
"SNR [-2, 0)",236,C 마스킹디코드,-3.4615,-2.6629,148.9625,0.2298,0.4829
"SNR [-2, 0)",236,b M0 재구성,-0.5694,0.3066,106.7745,0.6734,0.314
"SNR [0, 2)",256,B 심장직접,-3.4512,-4.4508,148.7866,0.267,0.4396
"SNR [0, 2)",256,a 입력 x_noisy,0.8073,0.0,91.1246,0.7509,0.2439
"SNR [0, 2)",256,대역통과 0.5-40Hz,4.4884,3.6887,59.6461,0.8332,0.1566
"SNR [0, 2)",256,웨이블릿 임계값,0.8609,0.0475,90.5641,0.7481,0.2427
"SNR [0, 2)",256,웨이블릿+기저선제거,5.4548,4.5075,53.3655,0.8403,0.1317
"SNR [0, 2)",256,A 성분차감,-11.3869,-12.0919,370.975,0.5002,0.9248
"SNR [0, 2)",256,C 마스킹디코드,-3.4512,-4.4508,148.7866,0.267,0.4396
"SNR [0, 2)",256,b M0 재구성,1.0413,0.1939,88.702,0.7499,0.2413
"SNR [2, 5)",231,B 심장직접,-2.0686,-5.5189,126.8901,0.2869,0.3541
"SNR [2, 5)",231,a 입력 x_noisy,3.1276,0.0,69.7623,0.8284,0.1897
"SNR [2, 5)",231,대역통과 0.5-40Hz,6.0009,2.726,50.1133,0.8656,0.1277
"SNR [2, 5)",231,웨이블릿 임계값,3.1902,0.0556,69.2609,0.8267,0.1893
"SNR [2, 5)",231,웨이블릿+기저선제거,6.3156,3.0952,48.3302,0.8612,0.1127
"SNR [2, 5)",231,A 성분차감,-11.2868,-14.0069,366.7255,0.553,0.8459
"SNR [2, 5)",231,C 마스킹디코드,-2.0686,-5.5189,126.8901,0.2869,0.3541
"SNR [2, 5)",231,b M0 재구성,3.1605,0.0513,69.4985,0.8241,0.1939
"SNR [5, 99)",50,B 심장직접,-1.4008,-7.931,117.5005,0.2903,0.3629
"SNR [5, 99)",50,a 입력 x_noisy,5.9835,0.0,50.2144,0.8995,0.1405
"SNR [5, 99)",50,대역통과 0.5-40Hz,8.0904,1.7263,39.3998,0.9047,0.108
"SNR [5, 99)",50,웨이블릿 임계값,6.047,0.0577,49.8485,0.8987,0.1398
"SNR [5, 99)",50,웨이블릿+기저선제거,7.7984,1.5443,40.7521,0.893,0.1013
"SNR [5, 99)",50,A 성분차감,-11.2837,-16.8227,366.5923,0.5842,0.8977
"SNR [5, 99)",50,C 마스킹디코드,-1.4008,-7.931,117.5005,0.2903,0.3629
"SNR [5, 99)",50,b M0 재구성,5.6709,-0.3503,52.0544,0.8906,0.1468
기록 100,180,B 심장직접,-4.7092,-5.1511,171.973,0.1852,0.3202
기록 100,180,a 입력 x_noisy,0.4835,0.0,94.5859,0.729,0.1836
기록 100,180,대역통과 0.5-40Hz,4.9771,4.0705,56.3829,0.8531,0.1071
기록 100,180,웨이블릿 임계값,0.5095,0.0426,94.3033,0.7228,0.1828
기록 100,180,웨이블릿+기저선제거,6.1717,5.3963,49.1379,0.8833,0.0935
기록 100,180,A 성분차감,-12.3295,-12.7194,413.5009,0.4055,0.7966
기록 100,180,C 마스킹디코드,-4.7092,-5.1511,171.973,0.1852,0.3202
기록 100,180,b M0 재구성,0.6685,0.1936,92.5924,0.7183,0.1783
기록 114,180,B 심장직접,-1.0335,-1.9786,112.6354,0.1772,0.4115
기록 114,180,a 입력 x_noisy,0.4688,0.0,94.7515,0.7352,0.349
기록 114,180,대역통과 0.5-40Hz,4.566,3.6536,59.1158,0.8434,0.2052
기록 114,180,웨이블릿 임계값,0.5418,0.0441,93.9547,0.7333,0.3464
기록 114,180,웨이블릿+기저선제거,5.6972,4.6281,51.8977,0.8581,0.1851
기록 114,180,A 성분차감,-7.9538,-8.2326,249.8559,0.5984,0.8833
기록 114,180,C 마스킹디코드,-1.0335,-1.9786,112.6354,0.1772,0.4115
기록 114,180,b M0 재구성,0.5851,0.1786,93.4862,0.7418,0.3358
기록 123,180,B 심장직접,-5.9349,-6.486,198.0357,0.2517,0.5585
기록 123,180,a 입력 x_noisy,0.7102,0.0,92.1488,0.7369,0.2636
기록 123,180,대역통과 0.5-40Hz,5.1856,4.1252,55.0455,0.8614,0.1566
기록 123,180,웨이블릿 임계값,0.7866,0.0527,91.3419,0.7339,0.2615
기록 123,180,웨이블릿+기저선제거,6.8016,5.6047,45.7005,0.8954,0.1285
기록 123,180,A 성분차감,-12.0143,-12.4945,398.7652,0.3325,1.1085
기록 123,180,C 마스킹디코드,-5.9349,-6.486,198.0357,0.2517,0.5585
기록 123,180,b M0 재구성,0.8333,0.1318,90.8526,0.7325,0.2588
기록 201,180,B 심장직접,-1.8488,-2.5221,123.7207,0.2116,0.226
기록 201,180,a 입력 x_noisy,0.6941,0.0,92.3204,0.7401,0.1624
기록 201,180,대역통과 0.5-40Hz,4.9674,3.7602,56.446,0.8464,0.1028
기록 201,180,웨이블릿 임계값,0.7339,0.0487,91.8981,0.7376,0.1612
기록 201,180,웨이블릿+기저선제거,4.943,4.0225,56.6045,0.8316,0.0995
기록 201,180,A 성분차감,-11.4962,-12.4234,375.6713,0.6671,0.683
기록 201,180,C 마스킹디코드,-1.8488,-2.5221,123.7207,0.2116,0.226
기록 201,180,b M0 재구성,0.996,0.2282,89.1669,0.7431,0.1577
기록 219,180,B 심장직접,-2.8061,-3.4175,138.1349,0.455,0.7229
기록 219,180,a 입력 x_noisy,0.3035,0.0,96.5656,0.7376,0.4866
기록 219,180,대역통과 0.5-40Hz,2.7527,2.3367,72.8402,0.7255,0.3799
기록 219,180,웨이블릿 임계값,0.3969,0.0429,95.5342,0.7369,0.4838
기록 219,180,웨이블릿+기저선제거,2.6911,2.4006,73.3575,0.7015,0.3762
