기록,split,채널1,채널2,band_전대역,band_vlf,band_lf,band_qrs,band_hf,분절수,r_평균,r_중앙,abs_r_평균,abs_r_중앙,abs_r_SD,abs_r_p05,abs_r_p95,진폭비_ch2/ch1
100,val,MLII,V5,0.65003,0.72711,0.89988,0.83642,0.38738,180,0.64556,0.65003,0.64642,0.65003,0.07399,0.5776,0.74272,0.76715
101,test,MLII,V1,0.22329,0.40489,0.38112,0.23139,0.52399,180,-0.21471,-0.22136,0.23188,0.22329,0.14636,0.0311,0.44802,0.18922
103,test,MLII,V2,0.92753,0.55346,0.90872,0.97378,0.94814,180,0.69895,0.92753,0.70575,0.92753,0.32388,0.10455,0.94626,2.13493
105,train,MLII,V1,0.4431,0.34059,0.67907,0.74391,0.28904,180,-0.39441,-0.44214,0.41759,0.4431,0.18728,0.10901,0.68612,0.6897
106,train,MLII,V1,0.1847,0.27589,0.36747,0.26326,0.33009,180,0.10774,0.13644,0.20198,0.1847,0.12992,0.02491,0.42757,0.3733
107,train,MLII,V1,0.63722,0.45138,0.70582,0.66449,0.48154,180,0.61653,0.63722,0.61653,0.63722,0.11417,0.37243,0.76055,0.7127
108,train,MLII,V1,0.41433,0.39425,0.66843,0.73258,0.08172,180,-0.22334,-0.32229,0.3954,0.41433,0.21058,0.04628,0.69154,1.67889
109,train,MLII,V1,0.77498,0.33394,0.79421,0.86479,0.47002,180,-0.76637,-0.77498,0.76637,0.77498,0.06999,0.68924,0.87698,0.66497
111,test,MLII,V1,0.37593,0.35748,0.41119,0.63906,0.54633,180,-0.32017,-0.37593,0.3366,0.37593,0.15657,0.07013,0.56436,1.19097
112,train,MLII,V1,0.22452,0.38184,0.29201,0.7583,0.11721,180,-0.19118,-0.21743,0.20862,0.22452,0.10948,0.02652,0.37299,0.48166
113,train,MLII,V1,0.24702,0.60729,0.41126,0.88898,0.33435,180,-0.14489,-0.1813,0.26241,0.24702,0.14422,0.05193,0.47956,0.36082
114,val,V5,MLII,0.27022,0.53361,0.32839,0.50529,0.17563,180,0.12977,0.12649,0.27758,0.27022,0.18541,0.02281,0.58434,2.19132
115,test,MLII,V1,0.19089,0.71913,0.67051,0.85849,0.42626,180,-0.06438,-0.06558,0.20594,0.19089,0.14726,0.02347,0.45657,0.67369
116,test,MLII,V1,0.539,0.30991,0.52644,0.88802,0.34107,180,-0.46863,-0.53339,0.49962,0.539,0.14618,0.2191,0.65722,0.34612
117,test,MLII,V2,0.77576,0.58111,0.87675,0.73574,0.78855,180,0.7654,0.77576,0.7654,0.77576,0.07533,0.67576,0.84391,1.26026
118,train,MLII,V1,0.1759,0.42326,0.22951,0.13966,0.47801,180,0.12178,0.16382,0.17161,0.1759,0.08124,0.02963,0.28296,0.81613
119,train,MLII,V1,0.79953,0.6595,0.91844,0.74536,0.29069,180,-0.74161,-0.79953,0.74161,0.79953,0.17115,0.41382,0.89835,0.7106
121,train,MLII,V1,0.47594,0.43699,0.67537,0.58474,0.21452,180,-0.43813,-0.47594,0.45711,0.47594,0.16643,0.10438,0.68815,0.91048
122,train,MLII,V1,0.38447,0.76531,0.40547,0.7449,0.08677,180,0.37115,0.38447,0.37115,0.38447,0.10242,0.17379,0.51413,0.36888
123,val,MLII,V5,0.88979,0.39273,0.86447,0.97187,0.92553,180,0.87089,0.88979,0.87089,0.88979,0.07425,0.75554,0.91848,0.63429
124,train,MLII,V4,0.37634,0.6522,0.47128,0.52305,0.70768,180,0.39787,0.37634,0.41116,0.37634,0.29722,0.01874,0.8359,0.56613
200,train,MLII,V1,0.35735,0.32708,0.62142,0.3273,0.23084,180,-0.2416,-0.08468,0.40399,0.35735,0.29739,0.02939,0.80996,1.30146
201,val,MLII,V1,0.5008,0.31488,0.59403,0.70444,0.16566,180,-0.48848,-0.5008,0.48902,0.5008,0.26187,0.12656,0.785,0.9118
202,train,MLII,V1,0.67698,0.32313,0.92992,0.74966,0.23493,180,-0.63699,-0.67698,0.64188,0.67698,0.11359,0.41659,0.76157,0.60693
203,train,MLII,V1,0.42753,0.3972,0.4868,0.50716,0.49335,180,-0.40827,-0.42753,0.41975,0.42753,0.20205,0.0749,0.70104,0.46758
205,train,MLII,V1,0.57701,0.42518,0.61095,0.84631,0.8066,180,-0.55811,-0.57701,0.56125,0.57701,0.16039,0.27165,0.76419,0.53597
207,train,MLII,V1,0.62703,0.36337,0.86681,0.60157,0.40967,180,0.50271,0.62703,0.53385,0.62703,0.25748,0.03172,0.80125,0.87083
208,train,MLII,V1,0.83393,0.42778,0.95664,0.62539,0.43049,180,-0.70657,-0.83393,0.73983,0.83393,0.21325,0.2476,0.9143,0.64715
