기록,split,채널1,채널2,MLII_위치,두번째리드,채널수
100,val,MLII,V5,1,V5,2
101,test,MLII,V1,1,V1,2
103,test,MLII,V2,1,V2,2
105,train,MLII,V1,1,V1,2
106,train,MLII,V1,1,V1,2
107,train,MLII,V1,1,V1,2
108,train,MLII,V1,1,V1,2
109,train,MLII,V1,1,V1,2
111,test,MLII,V1,1,V1,2
112,train,MLII,V1,1,V1,2
113,train,MLII,V1,1,V1,2
114,val,V5,MLII,2,V5,2
115,test,MLII,V1,1,V1,2
116,test,MLII,V1,1,V1,2
117,test,MLII,V2,1,V2,2
118,train,MLII,V1,1,V1,2
119,train,MLII,V1,1,V1,2
121,train,MLII,V1,1,V1,2
122,train,MLII,V1,1,V1,2
123,val,MLII,V5,1,V5,2
124,train,MLII,V4,1,V4,2
200,train,MLII,V1,1,V1,2
201,val,MLII,V1,1,V1,2
202,train,MLII,V1,1,V1,2
203,train,MLII,V1,1,V1,2
205,train,MLII,V1,1,V1,2
207,train,MLII,V1,1,V1,2
208,train,MLII,V1,1,V1,2
209,train,MLII,V1,1,V1,2
210,train,MLII,V1,1,V1,2
212,train,MLII,V1,1,V1,2
213,train,MLII,V1,1,V1,2
214,train,MLII,V1,1,V1,2
215,test,MLII,V1,1,V1,2
217,train,MLII,V1,1,V1,2
219,val,MLII,V1,1,V1,2
220,test,MLII,V1,1,V1,2
221,train,MLII,V1,1,V1,2
222,train,MLII,V1,1,V1,2
223,train,MLII,V1,1,V1,2
228,train,MLII,V1,1,V1,2
230,train,MLII,V1,1,V1,2
231,train,MLII,V1,1,V1,2
232,train,MLII,V1,1,V1,2
233,test,MLII,V1,1,V1,2
234,train,MLII,V1,1,V1,2
