encoder,reference,r_mean,r_sd,r_median,rmse_median,rmse_mean,ref_rms_median,share_pct
enc1,x_clean,0.17926699129667278,0.16093969906770147,0.10237459411896949,0.21330448738527175,0.2470270206113466,0.20359736206028267,4.325774968990887
enc1,bw,0.09184107649382951,0.10577170688550602,0.057582555331194635,0.14200722147535516,0.16384149815492108,0.11850539146529052,0.227889474944013
enc1,ma,0.0849872918243751,0.09758250867218801,0.05672254138668155,0.14185855081021087,0.15984049099862413,0.113957869221856,0.43071532887908515
enc1,em,0.35390401057864546,0.15495282540705352,0.3590651105147431,0.11825313069724325,0.12964539885677548,0.11346391938077256,12.997709784466183
enc2,x_clean,0.09962914961825066,0.06735714636012709,0.0895597455197524,0.31358839346970935,0.3306499414637502,0.20359736206028267,1.2876197989475058
enc2,bw,0.5617564942235217,0.23806953696424424,0.6176807084825479,0.18453824273169533,0.18930897248407536,0.11850539146529052,30.372849217313806
enc2,ma,0.43378584377322577,0.2090056500375087,0.4517042093482972,0.20812954834292335,0.21238319334031322,0.113957869221856,13.49328378917388
enc2,em,0.3347940903338221,0.18577380657290327,0.31801475031179427,0.21836021652134796,0.22361458084873648,0.11346391938077256,9.62855919400735
enc3,x_clean,0.7668182097205916,0.058383015375618984,0.7699108138824324,0.1939470831574072,0.20470163789633158,0.20359736206028267,58.32853007804558
enc3,bw,0.018279848375015385,0.014258041571381438,0.015229274847334417,0.32509675723528486,0.3422642949094499,0.11850539146529052,0.02947384025405104
enc3,ma,0.01596262589347604,0.012507425147769697,0.013218882376620531,0.32476683731521444,0.3402371162531677,0.113957869221856,0.02728648275760502
enc3,em,0.02759036902565175,0.02058148175729067,0.023698338644276513,0.3280109110642502,0.33718128461440416,0.11346391938077256,0.08065734902006372
enc4,x_clean,0.08374071981247616,0.07168163122314482,0.06659081272314779,0.2164204774423517,0.28846372942690013,0.20359736206028267,0.7210869911196118
enc4,bw,0.4739672133750142,0.23381035274268017,0.4945536617134008,0.11703683994228092,0.14949347350100187,0.11850539146529052,15.151692479533201
enc4,ma,0.4704522185546647,0.24546339837832007,0.5031422858884449,0.11931564332312489,0.1467904860194362,0.113957869221856,21.791549162962482
enc4,em,0.3004543719673359,0.16519619323985113,0.28791014582181673,0.13739308526376515,0.17470452242215753,0.11346391938077256,7.0772465435868375
