인코더,에폭,x_clean,bw,ma,em
enc1,48,6.890941538471123,4.060250711593724,4.54310108073184,4.316360392875996
enc2,48,7.850457861057763,4.373924103160381,4.9671890790564595,5.097991385292441
enc3,48,7.703426767461716,2.2114465663938065,3.3359046868245157,4.079901037004184
enc4,48,5.323692729276445,7.8945342169218735,7.65889017034505,7.500398776101902
enc5,48,7.8284985094188535,4.690445815862397,5.130394844913786,5.117322133643146
enc6,48,7.791332868637093,3.5502589008199985,4.228953307810476,4.178358489916832
enc7,48,8.017752672071179,4.067969829503691,4.7338762569518735,4.846063622773668
enc8,48,7.487554923339513,4.777860750257508,5.156469416490709,4.8673600189461235
enc1,88,6.823610394354919,4.355500395825844,4.741353617597931,4.483934420232459
enc2,88,7.903954375501479,4.492501225808517,5.017116350794857,5.120384021133034
enc3,88,7.7227986006624985,2.2469360322930982,3.3326073908664937,4.089922325756209
enc4,88,5.066841950602893,7.640001208841779,7.4102008371667,7.2488051200275985
enc5,88,7.998481613125023,4.405552242821696,4.932187680371698,4.9616143685874645
enc6,88,7.823823430956288,3.78056956981036,4.381067883444595,4.234183974410693
enc7,88,8.055067967953768,4.779781785309993,5.292700481844004,5.3752806492311915
enc8,88,7.449708876877563,5.0585978200839525,5.423453466034498,5.149494119193041
