인코더,에폭,x_clean,bw,ma,em
enc1,48,1.2977370570251516,1.376130277658892,1.337042532389832,1.2620232289367492
enc2,48,1.4053521303406842,1.3421524057453762,1.3688702638857144,1.3881953961058766
enc3,48,1.3229759322161663,0.8723418874793227,1.020955956693465,1.2255088591644157
enc4,48,0.8388560980210312,1.405304266042436,1.407468489238247,1.3949965275691878
enc5,48,1.4170857161924388,1.4543485537724201,1.461270945401483,1.4271155859914066
enc6,48,1.3460891919289708,1.228092259889498,1.270295455213285,1.2500813578474428
enc7,48,1.3812651941482819,1.1963886935853025,1.2771247707645057,1.3147601090651502
enc8,48,1.3005168742661102,1.3912345215296715,1.387383361727526,1.3145418494573438
enc1,88,1.2948887290206756,1.3765724310200391,1.3366612721962703,1.2556866087120653
enc2,88,1.4155523488678932,1.3670606323103154,1.382748915674569,1.397598290710335
enc3,88,1.3217822540105757,0.8758383663956364,1.0152205257178935,1.223603009389396
enc4,88,0.8265674679061381,1.4086656906331478,1.4103263946426134,1.3971862110090811
enc5,88,1.4163130795151901,1.447567584945065,1.467975066258716,1.428969610394003
enc6,88,1.3527246781158484,1.2862697227459696,1.3060498940881298,1.2614162633644483
enc7,88,1.3847550957145534,1.2445648415629393,1.3038968083460218,1.3361777874366838
enc8,88,1.2911948960972461,1.4037195742089927,1.3941490786548922,1.3117925986292733
