순위,분절,분절점수,인코더,참조,corr,rmse_norm,mad
1,114_0043,0.9092,enc1,x_clean,0.8782,0.4936,1.5614
1,114_0043,0.9092,enc1,bw,0.3571,1.1339,6.7687
1,114_0043,0.9092,enc1,ma,0.3215,1.1649,6.8938
1,114_0043,0.9092,enc1,em,0.0933,1.3466,6.7991
1,114_0043,0.9092,enc2,x_clean,0.0065,1.4096,7.7375
1,114_0043,0.9092,enc2,bw,0.9503,0.3154,1.3216
1,114_0043,0.9092,enc2,ma,0.8514,0.5452,2.5617
1,114_0043,0.9092,enc2,em,0.1468,1.3063,4.505
1,114_0043,0.9092,enc3,x_clean,0.0514,1.3774,7.4675
1,114_0043,0.9092,enc3,bw,0.8481,0.5512,1.6227
1,114_0043,0.9092,enc3,ma,0.9205,0.3987,2.2927
1,114_0043,0.9092,enc3,em,0.1672,1.2906,3.9255
1,114_0043,0.9092,enc4,x_clean,0.0544,1.3752,7.2665
1,114_0043,0.9092,enc4,bw,0.1753,1.2843,4.7726
1,114_0043,0.9092,enc4,ma,0.1961,1.268,4.1037
1,114_0043,0.9092,enc4,em,0.8877,0.4739,2.1121
2,114_0098,0.8848,enc1,x_clean,0.9478,0.3232,1.5008
2,114_0098,0.8848,enc1,bw,0.1211,1.3258,6.4924
2,114_0098,0.8848,enc1,ma,0.0655,1.3671,5.8827
2,114_0098,0.8848,enc1,em,0.1366,1.3141,6.1698
2,114_0098,0.8848,enc2,x_clean,0.0888,1.35,6.9171
2,114_0098,0.8848,enc2,bw,0.8956,0.457,1.0812
2,114_0098,0.8848,enc2,ma,0.247,1.5792,3.8066
2,114_0098,0.8848,enc2,em,0.1779,1.2822,4.0972
2,114_0098,0.8848,enc3,x_clean,0.0226,1.3981,6.543
2,114_0098,0.8848,enc3,bw,0.1053,1.4868,3.7299
2,114_0098,0.8848,enc3,ma,0.8383,0.5687,1.9719
2,114_0098,0.8848,enc3,em,0.0616,1.4571,4.1101
2,114_0098,0.8848,enc4,x_clean,0.1017,1.3404,6.2578
2,114_0098,0.8848,enc4,bw,0.3033,1.1804,4.497
2,114_0098,0.8848,enc4,ma,0.045,1.4457,4.4748
2,114_0098,0.8848,enc4,em,0.8577,0.5336,2.2705
3,114_0000,0.8825,enc1,x_clean,0.9436,0.3358,1.9769
3,114_0000,0.8825,enc1,bw,0.1663,1.2913,8.1301
3,114_0000,0.8825,enc1,ma,0.1418,1.3101,7.7131
3,114_0000,0.8825,enc1,em,0.0978,1.3433,8.2229
3,114_0000,0.8825,enc2,x_clean,0.0606,1.3707,8.0587
3,114_0000,0.8825,enc2,bw,0.9139,0.415,1.2179
3,114_0000,0.8825,enc2,ma,0.3216,1.1648,4.7288
3,114_0000,0.8825,enc2,em,0.1523,1.3021,4.4715
3,114_0000,0.8825,enc3,x_clean,0.0198,1.4001,8.0697
3,114_0000,0.8825,enc3,bw,0.1848,1.2769,3.3516
3,114_0000,0.8825,enc3,ma,0.8932,0.4622,3.5473
3,114_0000,0.8825,enc3,em,0.1035,1.339,4.5754
3,114_0000,0.8825,enc4,x_clean,0.0622,1.3695,8.1874
3,114_0000,0.8825,enc4,bw,0.4973,1.0027,3.8381
3,114_0000,0.8825,enc4,ma,0.2361,1.236,3.5336
3,114_0000,0.8825,enc4,em,0.7794,0.6642,2.942
