구간,분절수,방식,SNR_dB,dSNR_vs_입력,PRD,corr,RMSE
SNR < -2,127,B 심장직접,5.6436,8.6328,52.2182,0.8899,0.1325
SNR < -2,127,a 입력 x_noisy,-2.8439,0.0,138.7378,0.5933,0.3597
SNR < -2,127,대역통과 0.5-40Hz,2.3309,5.3488,76.4637,0.7698,0.1916
SNR < -2,127,웨이블릿 임계값,-2.8062,0.0342,138.1375,0.5883,0.3584
SNR < -2,127,웨이블릿+기저선제거,3.7767,6.7684,64.7392,0.7962,0.1505
SNR < -2,127,A 성분차감,5.4583,8.4382,53.3438,0.8715,0.139
SNR < -2,127,C 마스킹디코드,5.6436,8.6328,52.2182,0.8899,0.1325
SNR < -2,127,b M0 재구성,-3.2663,-0.4039,145.6507,0.5818,0.3672
"SNR [-2, 0)",236,B 심장직접,6.3114,7.3967,48.3536,0.8951,0.1372
"SNR [-2, 0)",236,a 입력 x_noisy,-0.8653,0.0,110.4755,0.6706,0.3239
"SNR [-2, 0)",236,대역통과 0.5-40Hz,3.4704,4.0627,67.0636,0.7928,0.1695
"SNR [-2, 0)",236,웨이블릿 임계값,-0.8044,0.0443,109.703,0.6672,0.3225
"SNR [-2, 0)",236,웨이블릿+기저선제거,4.4016,5.2716,60.2445,0.8083,0.1485
"SNR [-2, 0)",236,A 성분차감,6.4173,7.332,47.7678,0.8802,0.1326
"SNR [-2, 0)",236,C 마스킹디코드,6.3114,7.3967,48.3536,0.8951,0.1372
"SNR [-2, 0)",236,b M0 재구성,-1.1982,-0.3754,114.792,0.6581,0.3298
"SNR [0, 2)",256,B 심장직접,7.0829,6.1034,44.2439,0.9139,0.1261
"SNR [0, 2)",256,a 입력 x_noisy,0.8073,0.0,91.1246,0.7509,0.2439
"SNR [0, 2)",256,대역통과 0.5-40Hz,4.4884,3.6887,59.6461,0.8332,0.1566
"SNR [0, 2)",256,웨이블릿 임계값,0.8609,0.0475,90.5641,0.7481,0.2427
"SNR [0, 2)",256,웨이블릿+기저선제거,5.4548,4.5075,53.3655,0.8403,0.1317
"SNR [0, 2)",256,A 성분차감,7.3078,6.483,43.1134,0.9062,0.1138
"SNR [0, 2)",256,C 마스킹디코드,7.0829,6.1034,44.2439,0.9139,0.1261
"SNR [0, 2)",256,b M0 재구성,0.4709,-0.4084,94.7227,0.7377,0.2441
"SNR [2, 5)",231,B 심장직접,7.768,4.5134,40.8884,0.9231,0.1202
"SNR [2, 5)",231,a 입력 x_noisy,3.1276,0.0,69.7623,0.8284,0.1897
"SNR [2, 5)",231,대역통과 0.5-40Hz,6.0009,2.726,50.1133,0.8656,0.1277
"SNR [2, 5)",231,웨이블릿 임계값,3.1902,0.0556,69.2609,0.8267,0.1893
"SNR [2, 5)",231,웨이블릿+기저선제거,6.3156,3.0952,48.3302,0.8612,0.1127
"SNR [2, 5)",231,A 성분차감,8.3729,5.2841,38.1379,0.9221,0.1
"SNR [2, 5)",231,C 마스킹디코드,7.768,4.5134,40.8884,0.9231,0.1202
"SNR [2, 5)",231,b M0 재구성,2.5933,-0.5868,74.1884,0.8134,0.1956
"SNR [5, 99)",50,B 심장직접,8.2299,1.951,38.7709,0.9354,0.1138
"SNR [5, 99)",50,a 입력 x_noisy,5.9835,0.0,50.2144,0.8995,0.1405
"SNR [5, 99)",50,대역통과 0.5-40Hz,8.0904,1.7263,39.3998,0.9047,0.108
"SNR [5, 99)",50,웨이블릿 임계값,6.047,0.0577,49.8485,0.8987,0.1398
"SNR [5, 99)",50,웨이블릿+기저선제거,7.7984,1.5443,40.7521,0.893,0.1013
"SNR [5, 99)",50,A 성분차감,9.4667,3.2742,33.6251,0.942,0.0958
"SNR [5, 99)",50,C 마스킹디코드,8.2299,1.951,38.7709,0.9354,0.1138
"SNR [5, 99)",50,b M0 재구성,5.2065,-0.708,54.9128,0.8845,0.1485
기록 100,180,B 심장직접,7.4336,6.6214,42.4933,0.9269,0.083
기록 100,180,a 입력 x_noisy,0.4835,0.0,94.5859,0.729,0.1836
기록 100,180,대역통과 0.5-40Hz,4.9771,4.0705,56.3829,0.8531,0.1071
기록 100,180,웨이블릿 임계값,0.5095,0.0426,94.3033,0.7228,0.1828
기록 100,180,웨이블릿+기저선제거,6.1717,5.3963,49.1379,0.8833,0.0935
기록 100,180,A 성분차감,7.4265,6.8755,42.5281,0.9209,0.0787
기록 100,180,C 마스킹디코드,7.4336,6.6214,42.4933,0.9269,0.083
기록 100,180,b M0 재구성,-0.2946,-0.7051,103.4503,0.7139,0.1972
기록 114,180,B 심장직접,6.617,6.0605,46.6822,0.9306,0.1651
기록 114,180,a 입력 x_noisy,0.4688,0.0,94.7515,0.7352,0.349
기록 114,180,대역통과 0.5-40Hz,4.566,3.6536,59.1158,0.8434,0.2052
기록 114,180,웨이블릿 임계값,0.5418,0.0441,93.9547,0.7333,0.3464
기록 114,180,웨이블릿+기저선제거,5.6972,4.6281,51.8977,0.8581,0.1851
기록 114,180,A 성분차감,7.1997,6.2561,43.6531,0.9142,0.1598
기록 114,180,C 마스킹디코드,6.617,6.0605,46.6822,0.9306,0.1651
기록 114,180,b M0 재구성,-0.0502,-0.523,100.5813,0.7132,0.3697
기록 123,180,B 심장직접,6.6022,5.6207,46.7616,0.9027,0.1297
기록 123,180,a 입력 x_noisy,0.7102,0.0,92.1488,0.7369,0.2636
기록 123,180,대역통과 0.5-40Hz,5.1856,4.1252,55.0455,0.8614,0.1566
기록 123,180,웨이블릿 임계값,0.7866,0.0527,91.3419,0.7339,0.2615
기록 123,180,웨이블릿+기저선제거,6.8016,5.6047,45.7005,0.8954,0.1285
기록 123,180,A 성분차감,7.5145,6.713,42.0993,0.9202,0.1178
기록 123,180,C 마스킹디코드,6.6022,5.6207,46.7616,0.9027,0.1297
기록 123,180,b M0 재구성,0.762,0.0214,91.6006,0.7213,0.2587
기록 201,180,B 심장직접,8.4705,7.4206,37.7116,0.9278,0.0683
기록 201,180,a 입력 x_noisy,0.6941,0.0,92.3204,0.7401,0.1624
기록 201,180,대역통과 0.5-40Hz,4.9674,3.7602,56.446,0.8464,0.1028
기록 201,180,웨이블릿 임계값,0.7339,0.0487,91.8981,0.7376,0.1612
기록 201,180,웨이블릿+기저선제거,4.943,4.0225,56.6045,0.8316,0.0995
기록 201,180,A 성분차감,7.7918,6.8098,40.7766,0.9112,0.0732
기록 201,180,C 마스킹디코드,8.4705,7.4206,37.7116,0.9278,0.0683
기록 201,180,b M0 재구성,0.1649,-0.7415,98.1201,0.7277,0.1768
기록 219,180,B 심장직접,5.733,5.2741,51.6835,0.8576,0.2766
기록 219,180,a 입력 x_noisy,0.3035,0.0,96.5656,0.7376,0.4866
기록 219,180,대역통과 0.5-40Hz,2.7527,2.3367,72.8402,0.7255,0.3799
기록 219,180,웨이블릿 임계값,0.3969,0.0429,95.5342,0.7369,0.4838
기록 219,180,웨이블릿+기저선제거,2.6911,2.4006,73.3575,0.7015,0.3762
기록 219,180,A 성분차감,5.3457,4.7882,54.0399,0.8363,0.2867
기록 219,180,C 마스킹디코드,5.733,5.2741,51.6835,0.8576,0.2766
기록 219,180,b M0 재구성,0.3069,-0.1228,96.5286,0.736,0.4932
