epoch,train,val,lr,sec
1,4713764.880208,445858.152917,0.001,43.432312
2,293197.344141,182758.386771,0.001,42.981415
3,123508.826693,57688.880677,0.001,43.071329
4,75398.380339,94724.880469,0.001,43.007236
5,83108.601042,58356.180547,0.001,42.930243
6,75518.25026,47872.905104,0.001,42.927003
7,85908.018001,46713.506172,0.001,42.939515
8,70316.840983,120593.62276,0.001,42.937348
9,72804.839648,67648.599375,0.001,42.93414
10,56916.425293,52189.630469,0.001,42.934876
11,52152.572949,39515.998516,0.001,42.938326
12,65070.738704,48125.208125,0.001,42.930936
13,56469.447949,45091.393568,0.001,42.927902
14,50079.508529,39305.123724,0.001,42.938318
15,57225.112858,76453.123906,0.001,42.929443
16,62434.440462,38563.604167,0.001,42.935044
17,48799.305827,40613.145169,0.001,42.932129
18,45023.660059,46425.972344,0.001,42.929637
19,49695.406185,55654.162865,0.001,42.930446
20,50838.409489,40540.76623,0.001,42.93209
21,59992.56696,50614.160898,0.001,42.931887
22,49276.461556,49798.450938,0.001,42.933213
23,49937.276367,87150.451576,0.001,42.966574
24,39203.481771,60861.898411,0.001,42.932268
25,53866.653092,33140.491979,0.001,42.935642
26,40671.334408,36997.177812,0.001,42.931031
27,55551.225423,43143.096406,0.001,42.931283
28,48930.296354,55756.410156,0.001,42.934125
29,48261.408952,43184.522786,0.001,42.931508
30,46928.462126,50459.726055,0.001,42.936432
31,46365.842057,42448.303594,0.001,42.934414
32,45312.571582,52464.708854,0.001,42.933717
33,49230.625781,32519.182604,0.001,42.939171
34,51592.317904,63670.80875,0.001,42.942198
35,51017.115495,38530.282708,0.001,42.939421
36,45290.479818,33733.763203,0.001,42.938524
37,52264.362907,48070.461667,0.001,42.940297
38,51625.038704,45745.43099,0.001,42.939616
39,52056.145345,44996.197995,0.001,42.935811
40,44979.80249,53709.837565,0.001,42.943695
41,174581.559342,198452.389583,0.001,42.936449
42,414196.983659,104658.570677,0.001,42.942678
43,115236.597038,81009.48625,0.001,42.942942
44,72150.560677,82635.007604,0.001,42.937991
45,51024.468164,65483.428698,0.001,42.94214
46,43070.536816,36242.161784,0.001,42.939819
47,43541.176888,43195.444505,0.001,42.93618
48,47899.524382,28378.318021,0.001,42.934227
49,46683.186735,23089.928307,0.001,42.936162
50,41769.085417,46019.124141,0.001,42.940652
51,45990.641195,32866.614518,0.001,42.937344
52,42067.828109,47829.009935,0.001,42.950599
53,48851.755469,32056.403516,0.001,42.946579
54,46449.120215,33312.607917,0.001,42.938557
55,47526.312858,69355.586628,0.001,42.937325
56,39607.990983,37325.657617,0.001,42.936807
57,55331.550146,75374.218854,0.001,42.926575
58,48199.048828,37218.844375,0.001,42.931568
59,59807.552327,64667.525885,0.001,42.927583
60,41302.751107,35729.047513,0.001,42.932184
61,40627.813021,27583.347643,0.001,42.929334
62,45911.835531,41821.811315,0.001,42.92951
63,36294.081624,39098.339453,0.001,42.932296
64,44060.259831,50914.225482,0.001,42.928999
65,47834.68776,30856.10625,0.001,42.92985
66,47998.296924,48496.892083,0.001,42.929694
67,47891.285628,54026.251927,0.001,42.936826
68,48016.940511,43652.94776,0.001,42.934042
69,41904.988005,49699.476224,0.001,42.931546
70,42547.101139,61178.677188,0.001,42.929501
71,58625.996647,41788.070573,0.001,42.940705
72,40100.800081,35926.233568,0.001,42.936705
73,39557.841764,48731.553034,0.001,42.936854
74,42777.67015,31916.141536,0.001,42.948357
75,51397.739632,38745.995326,0.001,44.089308
76,33549.501855,38053.701875,0.001,46.127582
77,41923.161377,37170.450547,0.001,44.32901
78,44266.693359,30773.468385,0.001,46.416069
79,41994.370459,35350.948438,0.001,46.549802
80,43253.358675,30951.703958,0.001,46.531478
81,43666.795622,35020.870273,0.001,45.083461
82,43032.425179,34882.923451,0.001,43.539745
83,44761.431934,34270.063893,0.001,43.94297
84,46393.378776,34990.865156,0.001,45.882395
85,40241.862793,32852.95026,0.001,46.421933
86,31311.782031,43657.931562,0.001,46.481009
87,42231.515853,44346.423594,0.001,46.478306
88,58057.948958,42547.377057,0.001,43.778718
89,46262.297949,48159.310755,0.001,42.920294
