epoch,train,val,lr,sec
1,6295.105349,5951.083906,0.001,7.843051
2,2802.378966,1074.465167,0.001,7.349419
3,1765.164366,445.925157,0.001,7.346452
4,1193.061004,355.26059,0.001,7.213363
5,855.116389,339.130054,0.001,7.235153
6,655.966197,336.207594,0.001,7.170123
7,536.844719,347.445539,0.001,7.207595
8,465.678937,333.49594,0.001,7.40505
9,420.666073,352.410827,0.001,7.290887
10,393.059153,314.514394,0.001,7.301791
11,375.693741,312.233749,0.001,7.482027
12,363.168411,311.350527,0.001,7.958638
13,358.319667,305.521893,0.001,7.950153
14,351.888511,284.958378,0.001,7.95481
15,347.615414,292.220597,0.001,8.011598
16,345.511832,282.553453,0.001,7.954571
17,341.955316,276.317428,0.001,7.51761
18,339.160203,274.95967,0.001,7.194404
19,338.552989,273.489946,0.001,7.220296
20,335.747108,265.718345,0.001,7.24805
21,332.94959,282.311733,0.001,7.205534
22,331.488234,265.631714,0.001,7.185997
23,330.314195,263.994121,0.001,7.186506
24,326.912355,270.79587,0.001,7.181118
25,326.314834,261.874052,0.001,7.173975
26,325.490411,265.978834,0.001,7.179095
27,321.769566,261.193402,0.001,7.177856
28,320.587193,267.156134,0.001,7.248605
29,320.340196,262.165931,0.0005,7.17842
30,317.748467,256.165119,0.0005,7.178209
31,315.86151,258.283174,0.0005,7.17789
32,315.585004,257.632735,0.00025,7.52363
33,315.43964,277.029593,0.00025,7.205702
34,313.29649,256.548672,0.000125,7.33541
35,313.075795,262.94233,0.000125,7.973216
36,313.180222,261.093031,6.2e-05,7.857471
37,310.913296,264.551558,6.2e-05,7.933688
38,312.221665,268.552247,3.1e-05,7.929161
39,311.660404,263.339183,3.1e-05,7.986232
40,311.650726,263.838877,1.6e-05,7.980257
