에폭,인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
40,enc1,0.1528,0.1118,0.218,0.1566,0.2203,0.1577,0.2372,0.1475
40,enc2,0.0844,0.0969,0.3895,0.2329,0.303,0.1997,0.2001,0.1604
40,enc3,0.1292,0.1488,0.5973,0.2548,0.476,0.2331,0.2738,0.1989
40,enc4,0.6136,0.1035,0.0841,0.077,0.0705,0.0656,0.071,0.0594
40,enc5,0.0913,0.1036,0.3466,0.2224,0.313,0.1983,0.1794,0.1444
40,enc6,0.1132,0.1186,0.3467,0.2177,0.2941,0.1934,0.2684,0.1623
40,enc7,0.0851,0.092,0.3758,0.2389,0.3011,0.197,0.1895,0.1453
40,enc8,0.1566,0.0908,0.1957,0.148,0.1652,0.1272,0.1757,0.1234
42,enc1,0.1563,0.1111,0.2144,0.1481,0.2208,0.1588,0.2394,0.1477
42,enc2,0.0844,0.1006,0.3938,0.2353,0.3171,0.2044,0.2008,0.1576
42,enc3,0.1289,0.1484,0.5972,0.2541,0.4693,0.234,0.2737,0.1987
42,enc4,0.5973,0.1063,0.0994,0.0859,0.0834,0.0743,0.0776,0.0642
42,enc5,0.0836,0.0993,0.3184,0.2216,0.283,0.1875,0.1796,0.1434
42,enc6,0.1065,0.1168,0.3539,0.2198,0.2958,0.1958,0.2485,0.158
42,enc7,0.0858,0.095,0.368,0.2318,0.2918,0.1937,0.187,0.1465
42,enc8,0.1628,0.0985,0.2154,0.1585,0.1794,0.1398,0.1694,0.1254
46,enc1,0.1516,0.1144,0.2354,0.1628,0.2288,0.1643,0.2344,0.1484
46,enc2,0.0848,0.0996,0.4087,0.24,0.3186,0.202,0.2132,0.1631
46,enc3,0.1302,0.1487,0.598,0.2542,0.4762,0.2353,0.2749,0.198
46,enc4,0.6331,0.1047,0.0854,0.0767,0.0723,0.0659,0.0713,0.0596
46,enc5,0.0929,0.1078,0.3645,0.2318,0.3335,0.2157,0.1881,0.1489
46,enc6,0.1085,0.1163,0.3477,0.2187,0.2942,0.1953,0.2506,0.1587
46,enc7,0.0859,0.0953,0.3682,0.2352,0.3012,0.1973,0.1882,0.1489
46,enc8,0.1621,0.0963,0.2124,0.1545,0.1749,0.1316,0.1788,0.1265
48,enc1,0.1606,0.1131,0.2177,0.1478,0.2166,0.1537,0.2418,0.1489
48,enc2,0.0875,0.1052,0.4046,0.2368,0.3154,0.1993,0.2089,0.1606
48,enc3,0.1302,0.1493,0.6019,0.2543,0.4768,0.234,0.2754,0.199
48,enc4,0.6414,0.1026,0.0735,0.0677,0.0632,0.059,0.0643,0.054
48,enc5,0.0896,0.0969,0.2982,0.2124,0.2771,0.1908,0.1613,0.1349
48,enc6,0.1121,0.1206,0.347,0.2201,0.2929,0.1928,0.2634,0.1615
48,enc7,0.0862,0.0973,0.3812,0.2397,0.2924,0.1942,0.2019,0.1519
48,enc8,0.161,0.0966,0.2044,0.1567,0.169,0.1315,0.1754,0.124
50,enc1,0.1543,0.1132,0.2071,0.1427,0.2112,0.1532,0.2318,0.1449
50,enc2,0.0911,0.1054,0.4239,0.2456,0.3239,0.21,0.214,0.1631
50,enc3,0.1293,0.1495,0.6011,0.2534,0.4764,0.2341,0.2757,0.1989
50,enc4,0.6252,0.1059,0.0851,0.0788,0.0742,0.0666,0.0736,0.0622
50,enc5,0.0859,0.0941,0.3103,0.2042,0.2731,0.1874,0.1599,0.1296
50,enc6,0.1092,0.1198,0.347,0.2239,0.2935,0.195,0.2468,0.159
50,enc7,0.0873,0.0963,0.3676,0.2299,0.3015,0.1909,0.1953,0.1508
50,enc8,0.1527,0.0933,0.1996,0.1515,0.1619,0.1287,0.1719,0.1218
52,enc1,0.1534,0.113,0.2082,0.1466,0.2105,0.1525,0.2314,0.1467
52,enc2,0.0867,0.1021,0.4064,0.2394,0.3152,0.1991,0.2077,0.1599
52,enc3,0.1303,0.1491,0.5979,0.2539,0.4751,0.2342,0.2751,0.1985
52,enc4,0.6418,0.1038,0.0797,0.0721,0.0695,0.0621,0.0689,0.0578
52,enc5,0.0877,0.0955,0.288,0.1962,0.2636,0.1792,0.1575,0.1271
52,enc6,0.1118,0.1206,0.3429,0.2235,0.2926,0.1927,0.2578,0.1589
52,enc7,0.084,0.0897,0.3443,0.2221,0.276,0.1852,0.18,0.1406
52,enc8,0.1535,0.093,0.199,0.1495,0.1629,0.1277,0.1799,0.1235
54,enc1,0.1567,0.112,0.2092,0.1453,0.2105,0.1521,0.2337,0.147
54,enc2,0.0872,0.1032,0.4015,0.2376,0.3189,0.1991,0.2091,0.1596
54,enc3,0.13,0.1479,0.5932,0.2544,0.475,0.2331,0.2741,0.1987
54,enc4,0.6403,0.1042,0.0842,0.0763,0.0718,0.065,0.0705,0.0592
54,enc5,0.084,0.0946,0.2875,0.1917,0.2615,0.1788,0.1599,0.1305
54,enc6,0.1118,0.1197,0.3462,0.2194,0.2943,0.1939,0.2589,0.1589
54,enc7,0.0824,0.0854,0.3438,0.2256,0.2671,0.1805,0.1774,0.1414
54,enc8,0.1597,0.0962,0.1906,0.1442,0.158,0.1256,0.1768,0.1218
56,enc1,0.1599,0.1138,0.2049,0.143,0.2096,0.1498,0.2393,0.1489
56,enc2,0.0872,0.1013,0.4139,0.2378,0.3222,0.2008,0.2124,0.1623
56,enc3,0.1308,0.1491,0.5993,0.2543,0.4796,0.2342,0.2759,0.1985
56,enc4,0.638,0.1039,0.0765,0.0687,0.0659,0.059,0.0667,0.0556
56,enc5,0.0836,0.0923,0.2744,0.1865,0.2579,0.1765,0.1552,0.1251
56,enc6,0.1091,0.1149,0.3221,0.2102,0.2788,0.1852,0.2566,0.158
56,enc7,0.0817,0.0835,0.3124,0.214,0.2481,0.17,0.1636,0.1323
56,enc8,0.166,0.0959,0.1823,0.1431,0.148,0.118,0.1742,0.1201
58,enc1,0.1608,0.1133,0.2051,0.1452,0.209,0.151,0.2381,0.1474
58,enc2,0.0888,0.103,0.4186,0.2374,0.3275,0.2033,0.2137,0.1637
58,enc3,0.1308,0.1486,0.5965,0.2549,0.4797,0.2338,0.275,0.1988
58,enc4,0.6407,0.1036,0.0775,0.0691,0.0659,0.0592,0.067,0.0563
58,enc5,0.0863,0.1001,0.2983,0.196,0.265,0.1866,0.1633,0.1263
