에폭,val_recon,S,S기여_x_clean,S기여_bw,S기여_ma,S기여_em,corr_x_clean_최고인코더,corr_x_clean_값,corr_bw_최고인코더,corr_bw_값,corr_ma_최고인코더,corr_ma_값,corr_em_최고인코더,corr_em_값,rmse_norm_x_clean_최고인코더,rmse_norm_x_clean_값,rmse_norm_bw_최고인코더,rmse_norm_bw_값,rmse_norm_ma_최고인코더,rmse_norm_ma_값,rmse_norm_em_최고인코더,rmse_norm_em_값,mad_x_clean_최고인코더,mad_x_clean_값,mad_bw_최고인코더,mad_bw_값,mad_ma_최고인코더,mad_ma_값,mad_em_최고인코더,mad_em_값,선택여부
40,0.0235,0.4902,0.6136,0.5973,0.476,0.2738,enc4,0.6136,enc3,0.5973,enc3,0.476,enc3,0.2738,enc4,0.8719,enc3,0.8761,enc3,1.0204,enc3,1.2259,enc4,5.4869,enc3,2.233,enc3,3.3326,enc3,4.0857,
42,0.0248,0.4844,0.5973,0.5972,0.4693,0.2737,enc4,0.5973,enc3,0.5972,enc3,0.4693,enc3,0.2737,enc4,0.8901,enc3,0.8774,enc3,1.0279,enc3,1.2269,enc4,5.1877,enc3,2.2212,enc3,3.3452,enc3,4.0948,
46,0.0222,0.4955,0.6331,0.598,0.4762,0.2749,enc4,0.6331,enc3,0.598,enc3,0.4762,enc3,0.2749,enc4,0.8483,enc3,0.877,enc3,1.0203,enc3,1.2255,enc4,5.1635,enc3,2.2324,enc3,3.3391,enc3,4.0822,
48,0.0205,0.4989,0.6414,0.6019,0.4768,0.2754,enc4,0.6414,enc3,0.6019,enc3,0.4768,enc3,0.2754,enc4,0.8389,enc3,0.8723,enc3,1.021,enc3,1.2255,enc4,5.3237,enc3,2.2114,enc3,3.3359,enc3,4.0799,
50,0.0231,0.4946,0.6252,0.6011,0.4764,0.2757,enc4,0.6252,enc3,0.6011,enc3,0.4764,enc3,0.2757,enc4,0.8575,enc3,0.8731,enc3,1.0206,enc3,1.2254,enc4,4.9695,enc3,2.1994,enc3,3.3325,enc3,4.0758,
52,0.019,0.4975,0.6418,0.5979,0.4751,0.2751,enc4,0.6418,enc3,0.5979,enc3,0.4751,enc3,0.2751,enc4,0.8379,enc3,0.8767,enc3,1.0213,enc3,1.2252,enc4,4.9981,enc3,2.2221,enc3,3.3333,enc3,4.0845,
54,0.0195,0.4957,0.6403,0.5932,0.475,0.2741,enc4,0.6403,enc3,0.5932,enc3,0.475,enc3,0.2741,enc4,0.8396,enc3,0.8811,enc3,1.021,enc3,1.2249,enc4,5.0554,enc3,2.2398,enc3,3.3249,enc3,4.0891,
56,0.0198,0.4982,0.638,0.5993,0.4796,0.2759,enc4,0.638,enc3,0.5993,enc3,0.4796,enc3,0.2759,enc4,0.8426,enc3,0.8744,enc3,1.0168,enc3,1.224,enc4,5.1012,enc3,2.2121,enc3,3.3264,enc3,4.0776,
58,0.0181,0.498,0.6407,0.5965,0.4797,0.275,enc4,0.6407,enc3,0.5965,enc3,0.4797,enc3,0.275,enc4,0.8393,enc3,0.8767,enc3,1.0163,enc3,1.2242,enc4,5.0025,enc3,2.2212,enc3,3.3212,enc3,4.0808,
60,0.0186,0.4991,0.6415,0.5987,0.4795,0.2766,enc4,0.6415,enc3,0.5987,enc3,0.4795,enc3,0.2766,enc4,0.8382,enc3,0.8752,enc3,1.0171,enc3,1.2238,enc4,5.0519,enc3,2.2146,enc3,3.3294,enc3,4.077,
62,0.0184,0.4984,0.6434,0.5958,0.4795,0.275,enc4,0.6434,enc3,0.5958,enc3,0.4795,enc3,0.275,enc4,0.836,enc3,0.877,enc3,1.0159,enc3,1.2236,enc4,4.9815,enc3,2.2385,enc3,3.3223,enc3,4.0831,
64,0.0187,0.4992,0.6405,0.5998,0.4803,0.2764,enc4,0.6405,enc3,0.5998,enc3,0.4803,enc3,0.2764,enc4,0.8395,enc3,0.8738,enc3,1.0166,enc3,1.224,enc4,5.0218,enc3,2.2234,enc3,3.3314,enc3,4.0828,
66,0.0172,0.5008,0.6432,0.6002,0.483,0.2766,enc4,0.6432,enc3,0.6002,enc3,0.483,enc3,0.2766,enc4,0.8366,enc3,0.8729,enc3,1.0135,enc3,1.2233,enc4,5.0332,enc3,2.2162,enc3,3.32,enc3,4.0771,
68,0.0186,0.5014,0.6439,0.6001,0.4847,0.2769,enc4,0.6439,enc3,0.6001,enc3,0.4847,enc3,0.2769,enc4,0.8357,enc3,0.8732,enc3,1.012,enc3,1.2231,enc4,4.9654,enc3,2.221,enc3,3.3206,enc3,4.074,
70,0.0193,0.497,0.6396,0.5945,0.4796,0.2742,enc4,0.6396,enc3,0.5945,enc3,0.4796,enc3,0.2742,enc4,0.8408,enc3,0.8786,enc3,1.016,enc3,1.2243,enc4,5.0508,enc3,2.2523,enc3,3.3259,enc3,4.0898,
72,0.0175,0.4989,0.6401,0.5987,0.4814,0.2753,enc4,0.6401,enc3,0.5987,enc3,0.4814,enc3,0.2753,enc4,0.8405,enc3,0.8737,enc3,1.0145,enc3,1.2237,enc4,5.0133,enc3,2.2362,enc3,3.3257,enc3,4.0877,
74,0.0181,0.5009,0.6472,0.5989,0.4811,0.2765,enc4,0.6472,enc3,0.5989,enc3,0.4811,enc3,0.2765,enc4,0.8317,enc3,0.8746,enc3,1.0159,enc3,1.2241,enc4,4.9967,enc3,2.2208,enc3,3.3284,enc3,4.0818,
