에폭,인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
40,enc1,6.9674,1.334,4.0588,0.959,4.5397,1.0232,4.3368,0.9015
40,enc2,8.0955,1.5544,5.2291,2.4226,5.7529,2.1819,5.8258,2.0874
40,enc3,7.7183,1.2859,2.233,0.7659,3.3326,0.9188,4.0857,0.8751
40,enc4,5.4869,0.9025,7.659,0.6454,7.3976,0.6348,7.242,0.5924
40,enc5,7.8721,1.3001,4.6269,1.4179,5.1119,1.4036,5.1008,1.0965
40,enc6,7.7389,1.5,3.6713,0.9811,4.3039,1.0503,4.2089,0.8717
40,enc7,8.0965,1.4191,4.7702,1.8077,5.2779,1.6877,5.3925,1.4459
40,enc8,7.478,1.3244,4.6193,1.0137,5.0518,1.0043,4.6774,0.9297
42,enc1,6.8945,1.2933,4.0053,0.9551,4.4997,1.0008,4.2837,0.8749
42,enc2,7.8726,1.349,4.3423,1.4824,4.9251,1.3813,5.0508,1.1972
42,enc3,7.7378,1.2966,2.2212,0.7736,3.3452,0.9329,4.0948,0.8793
42,enc4,5.1877,0.8626,7.0342,0.6146,6.7775,0.5984,6.6122,0.5673
42,enc5,7.9073,1.3088,5.0907,1.6061,5.4939,1.4831,5.461,1.3672
42,enc6,7.7934,1.4531,3.5836,0.9966,4.269,1.0527,4.2443,0.8532
42,enc7,8.1259,1.4494,5.0471,1.9646,5.5162,1.826,5.6012,1.609
42,enc8,7.436,1.336,4.4369,0.9267,4.9286,1.0152,4.5763,0.8509
46,enc1,6.933,1.3286,3.9196,0.8376,4.4565,0.934,4.2702,0.7982
46,enc2,7.8947,1.372,4.6185,1.8777,5.1829,1.7022,5.2896,1.5612
46,enc3,7.7081,1.2777,2.2324,0.7774,3.3391,0.9363,4.0822,0.8792
46,enc4,5.1635,0.9769,7.4183,0.6521,7.1798,0.6421,7.0303,0.5911
46,enc5,7.8654,1.2277,3.7361,0.9276,4.4878,1.0648,4.6187,0.8251
46,enc6,7.7533,1.4724,3.5324,0.9347,4.2205,1.0186,4.1904,0.8133
46,enc7,7.9866,1.3214,3.9132,1.3675,4.612,1.3436,4.8065,1.0487
46,enc8,7.3892,1.2609,4.4749,1.0554,4.9432,1.0369,4.6358,0.9679
48,enc1,6.8909,1.3235,4.0603,0.9315,4.5431,1.0079,4.3164,0.8844
48,enc2,7.8505,1.3107,4.3739,1.6581,4.9672,1.4709,5.098,1.3098
48,enc3,7.7034,1.2788,2.2114,0.767,3.3359,0.9285,4.0799,0.8737
48,enc4,5.3237,0.941,7.8945,0.6936,7.6589,0.6871,7.5004,0.6634
48,enc5,7.8285,1.2654,4.6904,1.4403,5.1304,1.2728,5.1173,1.0632
48,enc6,7.7913,1.4785,3.5503,0.9611,4.229,1.0289,4.1784,0.8432
