에폭,인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
40,enc1,1.3057,0.0977,1.3925,0.1937,1.3456,0.1966,1.2681,0.1645
40,enc2,1.4094,0.0931,1.3593,0.3434,1.3761,0.2678,1.3977,0.1876
40,enc3,1.3235,0.135,0.8761,0.3296,1.0204,0.2735,1.2259,0.2163
40,enc4,0.8719,0.1141,1.4004,0.0821,1.4046,0.0687,1.3926,0.0638
40,enc5,1.4179,0.0994,1.4621,0.2886,1.4629,0.2551,1.4308,0.16
40,enc6,1.3434,0.1098,1.2315,0.2872,1.2687,0.2454,1.2442,0.1855
40,enc7,1.3889,0.0917,1.2108,0.3269,1.282,0.2576,1.3348,0.1686
40,enc8,1.3038,0.0811,1.3949,0.177,1.3895,0.1515,1.3134,0.1306
42,enc1,1.3017,0.0965,1.3837,0.1889,1.3337,0.196,1.2611,0.1607
42,enc2,1.4114,0.0944,1.3637,0.3478,1.3739,0.2808,1.402,0.186
42,enc3,1.324,0.1346,0.8774,0.3306,1.0279,0.2737,1.2269,0.2169
42,enc4,0.8901,0.1174,1.4086,0.0946,1.41,0.0797,1.394,0.0705
42,enc5,1.4145,0.0939,1.4561,0.2705,1.4622,0.2311,1.4324,0.1589
42,enc6,1.3524,0.1105,1.2378,0.3016,1.283,0.2552,1.2726,0.1864
42,enc7,1.3876,0.094,1.2345,0.3215,1.2956,0.253,1.3383,0.1691
42,enc8,1.2999,0.0889,1.3921,0.1943,1.393,0.1667,1.3294,0.1371
46,enc1,1.3078,0.1012,1.3939,0.2062,1.3473,0.2053,1.2803,0.1709
46,enc2,1.4086,0.0953,1.337,0.3629,1.3644,0.2792,1.3915,0.1978
46,enc3,1.3227,0.1348,0.877,0.3324,1.0203,0.2763,1.2255,0.2161
46,enc4,0.8483,0.1204,1.4037,0.0827,1.407,0.0697,1.395,0.0647
46,enc5,1.4228,0.0993,1.4671,0.302,1.4854,0.2666,1.4361,0.1657
46,enc6,1.3504,0.11,1.2495,0.2986,1.2869,0.2547,1.2711,0.1864
46,enc7,1.3939,0.0945,1.2697,0.3332,1.315,0.2643,1.3484,0.1729
46,enc8,1.3005,0.0871,1.394,0.1895,1.3907,0.1598,1.3159,0.1361
48,enc1,1.2977,0.0975,1.3761,0.1903,1.337,0.1903,1.262,0.1647
48,enc2,1.4054,0.1005,1.3422,0.3592,1.3689,0.2774,1.3882,0.1944
48,enc3,1.323,0.1357,0.8723,0.3335,1.021,0.2766,1.2255,0.2175
48,enc4,0.8389,0.116,1.4053,0.0714,1.4075,0.0613,1.395,0.0581
48,enc5,1.4171,0.0942,1.4543,0.2553,1.4613,0.2295,1.4271,0.1469
48,enc6,1.3461,0.1133,1.2281,0.2924,1.2703,0.246,1.2501,0.1854
48,enc7,1.3813,0.0942,1.1964,0.326,1.2771,0.2469,1.3148,0.1728
48,enc8,1.3005,0.0862,1.3912,0.1861,1.3874,0.1566,1.3145,0.1313
50,enc1,1.3027,0.0978,1.3721,0.1811,1.3315,0.1871,1.2677,0.1578
50,enc2,1.3949,0.1025,1.2754,0.3805,1.3223,0.2894,1.3639,0.2001
50,enc3,1.3236,0.1358,0.8731,0.3318,1.0206,0.2753,1.2254,0.2175
50,enc4,0.8575,0.1195,1.4068,0.0833,1.4079,0.0709,1.3944,0.0671
50,enc5,1.4236,0.0882,1.4732,0.251,1.4783,0.2179,1.4333,0.1416
50,enc6,1.3484,0.1123,1.2408,0.3008,1.2796,0.2507,1.2711,0.184
50,enc7,1.3797,0.0939,1.2119,0.3103,1.2809,0.2506,1.3172,0.1687
50,enc8,1.308,0.084,1.3944,0.1814,1.3887,0.1517,1.3173,0.1289
52,enc1,1.304,0.0978,1.3844,0.1839,1.3426,0.1874,1.2706,0.1613
52,enc2,1.407,0.0973,1.3369,0.3625,1.3619,0.2766,1.3855,0.193
52,enc3,1.3227,0.1354,0.8767,0.3306,1.0213,0.2747,1.2252,0.2164
52,enc4,0.8379,0.1193,1.404,0.0771,1.4061,0.0662,1.3941,0.0623
52,enc5,1.4182,0.092,1.4569,0.2413,1.4613,0.2168,1.4352,0.1392
52,enc6,1.3453,0.1123,1.2349,0.2938,1.2726,0.2465,1.2565,0.1835
52,enc7,1.3848,0.0886,1.2396,0.2973,1.2939,0.234,1.3305,0.1569
52,enc8,1.3069,0.0834,1.3906,0.1803,1.3865,0.1516,1.3092,0.1304
54,enc1,1.3008,0.0963,1.3812,0.1842,1.3388,0.1857,1.267,0.1605
54,enc2,1.4102,0.0977,1.3633,0.3533,1.3764,0.2775,1.3951,0.1926
54,enc3,1.323,0.134,0.8811,0.3282,1.021,0.2726,1.2249,0.2154
54,enc4,0.8396,0.1198,1.4041,0.0815,1.4065,0.0688,1.3947,0.0641
54,enc5,1.4176,0.0897,1.4526,0.2423,1.4569,0.2159,1.4311,0.1435
54,enc6,1.3457,0.1118,1.2356,0.2933,1.2764,0.2507,1.2559,0.1838
54,enc7,1.3859,0.0849,1.239,0.2997,1.2959,0.226,1.3303,0.1568
54,enc8,1.3008,0.0849,1.3904,0.1732,1.3872,0.1479,1.31,0.1273
56,enc1,1.2977,0.0974,1.3754,0.18,1.3316,0.1819,1.2588,0.1601
56,enc2,1.4109,0.0963,1.3496,0.3634,1.3718,0.2811,1.3915,0.1953
56,enc3,1.3222,0.1354,0.8744,0.3312,1.0168,0.2762,1.224,0.2162
56,enc4,0.8426,0.1191,1.406,0.0737,1.4078,0.0627,1.3952,0.0602
56,enc5,1.4145,0.0889,1.4439,0.2355,1.4549,0.2138,1.4311,0.1386
56,enc6,1.3495,0.1083,1.2642,0.2798,1.2901,0.239,1.2572,0.1816
56,enc7,1.3875,0.0835,1.2599,0.2748,1.3108,0.2116,1.3404,0.1451
56,enc8,1.2952,0.0842,1.3989,0.1668,1.3931,0.1383,1.3105,0.1246
58,enc1,1.2971,0.0971,1.381,0.1814,1.3354,0.1835,1.262,0.1606
58,enc2,1.4152,0.0971,1.3618,0.3634,1.3812,0.2834,1.3956,0.1965
58,enc3,1.3224,0.1349,0.8767,0.33,1.0163,0.2748,1.2242,0.2157
58,enc4,0.8393,0.119,1.408,0.0744,1.4096,0.0628,1.3964,0.061
