epoch,train_total,train_recon,train_mixing,train_zero_recon,train_z_l2,val_recon,S,argmax_k,lr,sec,rho_e0,rho_e1,rho_e2,rho_e3,rho_e4,rho_e5,rho_e6,rho_e7
1,0.39775828434073407,0.3594159730102705,3.5735913359600566,0.06964994136891935,1.9099014634671418,0.12667645941840278,0.054906636476516724,2.0,0.001,4.208048582077026,0.05008317530155182,0.05122554674744606,0.054906636476516724,0.05434328317642212,0.05043220520019531,0.037142734974622726,0.048118945211172104,0.04499823600053787
2,0.2583465174488399,0.2203473571849906,3.552814379982326,0.021181317198130746,2.2592052273128345,0.10343281724717882,0.05935141444206238,3.0,0.001,3.6101207733154297,0.04393601417541504,0.04599926993250847,0.05236535146832466,0.05935141444206238,0.04250349849462509,0.043946169316768646,0.047426700592041016,0.047415342181921005
3,0.2374940812587738,0.20068360022876575,3.4804300639940347,0.007765857538248858,1.9285219855930493,0.1053734368218316,,,0.001,3.3868045806884766,,,,,,,,
4,0.22343233486880426,0.1876946797837382,3.3911134885705034,0.007718960643219559,1.7493330395740012,0.09528322177463108,0.053991399705410004,3.0,0.001,3.595280885696411,0.04084090143442154,0.0517023503780365,0.05205864831805229,0.053991399705410004,0.0441480427980423,0.04883258417248726,0.044746559113264084,0.05167573690414429
5,0.2093749752511149,0.17538386907266534,3.2584992699001147,0.0020878093808120034,1.3852340190306953,0.09167120022243924,,,0.001,3.4647412300109863,,,,,,,,
6,0.1984235845182253,0.16575810896313709,3.139220496882563,0.002469959575176725,1.2485691516295723,0.08144622294108073,0.0710914358496666,3.0,0.001,3.6161270141601562,0.05690225213766098,0.04824940487742424,0.0514121949672699,0.0710914358496666,0.05057014897465706,0.047454021871089935,0.045636117458343506,0.06705394387245178
7,0.18983111562936203,0.15858811528786368,3.0139358561971914,0.002300642137213246,1.0806331997332366,0.08575,,,0.001,3.4685964584350586,,,,,,,,
8,0.19547712738099304,0.16523758030456046,2.910717031230097,0.008401425380725414,1.0483653234398884,0.08290932210286459,0.08662689477205276,3.0,0.001,3.5662174224853516,0.0603867769241333,0.0501282662153244,0.05317482352256775,0.08662689477205276,0.04990198835730553,0.05439767241477966,0.05132769048213959,0.06461089104413986
9,0.18943035796932553,0.16021777495093967,2.81418658339459,0.004995477346592056,1.0207627026931099,0.08483581203884549,,,0.001,3.4873878955841064,,,,,,,,
10,0.17593162992726202,0.14764734843502875,2.7255660139996074,0.003171240462941806,0.9969079183495563,0.07326097954644097,0.07292227447032928,3.0,0.001,3.5916383266448975,0.06177935749292374,0.04736108332872391,0.050888970494270325,0.07292227447032928,0.044266477227211,0.060854025185108185,0.04560936242341995,0.05851689726114273
11,0.1658208007397859,0.13862606753473697,2.625143807867299,0.0007507981436387838,0.9357881675595823,0.07047212897406684,,,0.001,3.4992353916168213,,,,,,,,
12,0.1584531800902408,0.13223370261814282,2.529449058615643,0.002217618728299504,0.9028122450994409,0.06748899163140192,0.11435099691152573,3.0,0.001,3.606678009033203,0.07929964363574982,0.055824924260377884,0.055565010756254196,0.11435099691152573,0.04404932260513306,0.0570409782230854,0.05295984819531441,0.0619635172188282
13,0.14962224079215009,0.12418866092744081,2.453237886014192,0.0012464921316638104,0.8887365460395813,0.06574248080783421,,,0.001,3.4734983444213867,,,,,,,,
14,0.1384928381961325,0.11380604622156723,2.3812338269275166,0.0013051329562744206,0.8614031698392786,0.06310785590277777,0.1023559644818306,3.0,0.001,3.5722148418426514,0.06850671768188477,0.04820108786225319,0.05295667424798012,0.1023559644818306,0.050960980355739594,0.056538958102464676,0.05208968743681908,0.055667489767074585
15,0.1330731488440348,0.10903111845254898,2.318759938944941,0.0018097441921860952,0.8363325310790021,0.05869168429904514,,,0.001,3.425096273422241,,,,,,,,
16,0.12447648074315942,0.10098304891068002,2.2647891355597456,0.0010096855479312817,0.8354439294856527,0.053538565741644964,0.16777151823043823,3.0,0.001,3.520570755004883,0.06695123016834259,0.054549384862184525,0.05425667017698288,0.16777151823043823,0.051124922931194305,0.058750081807374954,0.05211067199707031,0.05665188655257225
17,0.1167345691634261,0.09381203191435855,2.207436706708825,0.0010747386233719146,0.8374222413353298,0.04954009924994575,,,0.001,3.3938326835632324,,,,,,,,
18,0.1109111642707949,0.08858509232168613,2.1501909442569898,0.0006014830369563044,0.8181481128153594,0.050616337246365016,0.2879837453365326,3.0,0.001,3.5163333415985107,0.07381100207567215,0.04162559658288956,0.0553249828517437,0.2879837453365326,0.05182693898677826,0.05622630566358566,0.0547633171081543,0.08678032457828522
19,0.10843460877304492,0.0865927160434101,2.100251985632855,0.0013898057159562798,0.8254759855892347,0.04185919867621528,,,0.001,3.4686763286590576,,,,,,,,
20,0.10300141443376956,0.08164771646261215,2.053141956743987,0.0007839836610440651,0.8144392293432484,0.04390141889784071,0.35679325461387634,3.0,0.001,3.5220987796783447,0.07076942175626755,0.04913455992937088,0.05671631544828415,0.35679325461387634,0.04685730114579201,0.05724278837442398,0.053568463772535324,0.09267561137676239
21,0.0999263949368311,0.0790190810094709,2.008187542790952,0.0006358806744885995,0.8190797852433246,0.0441334482828776,,,0.001,3.3779139518737793,,,,,,,,
22,0.09428568443526393,0.07378260823695557,1.9684432071188223,0.0009361247060081477,0.8092836893123129,0.038348446316189236,0.4268437922000885,3.0,0.001,3.492039442062378,0.07589179277420044,0.04606858268380165,0.05964189022779465,0.4268437922000885,0.05013793334364891,0.05461021140217781,0.05167418718338013,0.09794732928276062
23,0.08811162476954253,0.0680241484356963,1.928214658861575,0.0004046341826957043,0.8012845386629519,0.034963439093695745,,,0.001,3.3299036026000977,,,,,,,,
24,0.09251882848532303,0.07275958715573601,1.8953499431195466,0.0005849211865216089,0.7998946257259535,0.03572740088568793,0.5146871209144592,3.0,0.001,3.4903500080108643,0.07655216008424759,0.05329102650284767,0.056690286844968796,0.5146871209144592,0.04853520542383194,0.05590202659368515,0.050585027784109116,0.11462829262018204
25,0.08775100759837938,0.06820292349742807,1.8724357356195864,0.0010472787575765876,0.8132535789323889,0.033906360202365454,,,0.001,3.336681842803955,,,,,,,,
26,0.08146575158057005,0.06219742609106976,1.844577949980031,0.0007026805377909509,0.8155196982881298,0.029753817664252388,0.5564526319503784,3.0,0.001,3.6015465259552,0.07400858402252197,0.050481587648391724,0.05937468260526657,0.5564526319503784,0.04717625677585602,0.05576622858643532,0.047944895923137665,0.09070587903261185
27,0.07761262875536214,0.05869048185970472,1.8114639831625896,0.0005241660262032857,0.8022659213646598,0.03297844950358073,,,0.001,3.4440269470214844,,,,,,,,
28,0.07693883809058563,0.058282515115064125,1.7841639674228171,0.0010784805503056343,0.8038998272107996,0.030490916358100043,0.58359694480896,3.0,0.001,3.524566650390625,0.07996506989002228,0.04792536795139313,0.05669649690389633,0.58359694480896,0.05257659777998924,0.06010245159268379,0.05667361617088318,0.09735744446516037
29,0.07599033382923706,0.05755751984922782,1.7616732379664546,0.0006094814939981164,0.8099872729052668,0.03367156643337674,,,0.001,3.514547824859619,,,,,,,,
30,0.07489982344534087,0.056692307572002,1.7388483959695566,0.0004936403970730127,0.8140956474387128,0.030506710052490234,0.6040719747543335,3.0,0.001,3.591961145401001,0.07679324597120285,0.05271114781498909,0.06179434433579445,0.6040719747543335,0.04993778094649315,0.05358106270432472,0.053586676716804504,0.11409037560224533
31,0.07169021309717842,0.05370032155643339,1.7166283856267515,0.0010157148986447441,0.813451463761537,0.027290071275499133,,,0.001,3.455380439758301,,,,,,,,
32,0.06950145992247955,0.051718401682117714,1.6959788954776267,0.0007922920473071787,0.8153473890346029,0.028562088012695313,0.608363687992096,3.0,0.001,3.544461250305176,0.08043798804283142,0.05215947702527046,0.05934080481529236,0.608363687992096,0.04923378676176071,0.061158448457717896,0.055020783096551895,0.11565431207418442
33,0.07062051639608714,0.05307487463173659,1.6730943192606387,0.0004279583581196873,0.810419922289641,0.02622238540649414,,,0.001,3.4727671146392822,,,,,,,,
34,0.07079133197017339,0.05341733927312105,1.653766331465348,0.002590382092065461,0.8104260382444962,0.03078814697265625,0.6229419112205505,3.0,0.001,3.6004393100738525,0.07979904860258102,0.04676273465156555,0.05878659337759018,0.6229419112205505,0.04588359594345093,0.057959433645009995,0.054542433470487595,0.09724363684654236
35,0.06413930686919586,0.04693837415265,1.6376105754271797,0.0012132924280392574,0.8126938809519229,0.027174203236897787,,,0.001,3.4664416313171387,,,,,,,,
36,0.06651411675240683,0.04949783711977627,1.620414630226467,0.0006112673395166538,0.8060203401938729,0.026240220811631944,0.6582642793655396,3.0,0.001,3.674821376800537,0.08739861845970154,0.04599839076399803,0.0615890771150589,0.6582642793655396,0.050543032586574554,0.0614602267742157,0.05251036211848259,0.12416324019432068
37,0.062192666141883186,0.04534661219171856,1.6028584967488828,0.0005253399886778029,0.8122162559758062,0.025694842868381078,,,0.001,3.441920757293701,,,,,,,,
38,0.06070074098913566,0.04406674983708755,1.582340121269226,0.00031026229281332746,0.8074879905451899,0.02489459016587999,0.6484230160713196,3.0,0.001,3.575401544570923,0.08962741494178772,0.044732701033353806,0.06254135817289352,0.6484230160713196,0.049358706921339035,0.06184958666563034,0.05065520107746124,0.12403023988008499
39,0.06055628573117049,0.044122239007898,1.5624389855758003,0.0009953786572188383,0.7997034269830455,0.02280754216512044,,,0.001,3.457850694656372,,,,,,,,
40,0.0587798152928767,0.042512923803018486,1.5463325925495313,0.00038266996726515174,0.7997387388478154,0.02350337685479058,0.6455163955688477,3.0,0.001,3.5879886150360107,0.0890260860323906,0.04959157854318619,0.06017529219388962,0.6455163955688477,0.044908519834280014,0.06056353077292442,0.04998050257563591,0.1255151331424713
41,0.058005957499794335,0.041927850764730705,1.5283440247825955,0.0004050810821354389,0.7906159810397936,0.024042659759521485,,,0.001,3.4651355743408203,,,,,,,,
42,0.056706184764271195,0.04080406689773435,1.5105738484341165,0.00046882298129671455,0.7916909482168115,0.02475560506184896,0.614342212677002,3.0,0.001,3.53176212310791,0.09330884367227554,0.04581715539097786,0.058792367577552795,0.614342212677002,0.04388152435421944,0.06086574122309685,0.05631304159760475,0.12954768538475037
43,0.05579252751625102,0.040064475782539535,1.4942503234614497,0.000331418229072132,0.7822346220845762,0.0229404296875,,,0.001,3.473594903945923,,,,,,,,
44,0.05839101581469826,0.04279052126018897,1.481170882349429,0.000923117756863813,0.7795549890269404,0.02509443664550781,0.6257762312889099,3.0,0.001,3.6139211654663086,0.09096793085336685,0.04871099814772606,0.06035850942134857,0.6257762312889099,0.04528944566845894,0.06176267936825752,0.05111393332481384,0.11176517605781555
45,0.05570739864007286,0.04019891373489214,1.4717061208642048,0.000624855915109789,0.7851758106895115,0.02952874247233073,,,0.001,3.5405070781707764,,,,,,,,
46,0.05499781441429387,0.03963247751412184,1.4580417042193206,0.000648680276556305,0.7784332892169123,0.02217265913221571,0.6456360220909119,3.0,0.001,3.8060684204101562,0.08881869912147522,0.046551983803510666,0.059518489986658096,0.6456360220909119,0.045244984328746796,0.05990424007177353,0.053245142102241516,0.12604030966758728
47,0.05318684535829917,0.037983062798562256,1.4429650928663171,0.0003802503184567246,0.770329449487769,0.021931179894341363,,,0.001,3.4507009983062744,,,,,,,,
48,0.05098159416862156,0.03593716835198195,1.4274924112402874,0.0003515423431172562,0.7659862430199332,0.02050089645385742,0.6782121658325195,3.0,0.001,3.7409253120422363,0.10462591052055359,0.04771185666322708,0.06123039126396179,0.6782121658325195,0.05018945410847664,0.06343433260917664,0.05276497080922127,0.12311991304159164
49,0.05093111437947854,0.036059516603532044,1.4111584424972534,0.00027498950056843057,0.7572640154672705,0.02003838602701823,,,0.001,3.5471484661102295,,,,,,,,
50,0.053464488490768104,0.038720126223305,1.3984074177949324,0.0004949027580036984,0.7553389253823654,0.02312455325656467,0.6280815005302429,3.0,0.0001,3.735049247741699,0.08973140269517899,0.05037251487374306,0.05883507430553436,0.6280815005302429,0.04711221158504486,0.0579197034239769,0.04869454726576805,0.11199194192886353
51,0.04813269882098488,0.03344827080550401,1.3916774936344312,0.000519873786327915,0.762455051359923,0.020062257978651257,,,0.0001,3.4521617889404297,,,,,,,,
52,0.045073902477388794,0.030482289097879246,1.3833971697351206,0.00016429209157966238,0.7559993759445522,0.018995083279079863,0.6553652286529541,3.0,0.0001,3.6198644638061523,0.08957169204950333,0.04516134038567543,0.05905060097575188,0.6553652286529541,0.052551452070474625,0.05704459175467491,0.052360374480485916,0.1115684062242508
53,0.044486046323309776,0.029954987699570862,1.377607884614364,0.00021282120154785883,0.7528517583142156,0.01830267545912001,,,0.0001,3.493375539779663,,,,,,,,
54,0.044219417416531105,0.02973314115534658,1.3733481376067451,0.00018640276760814467,0.7509314547414365,0.019471218532986112,0.6504175066947937,3.0,0.0001,3.6128041744232178,0.09419950097799301,0.04562554880976677,0.06173690780997276,0.6504175066947937,0.05183982476592064,0.06115002930164337,0.05231652781367302,0.12211239337921143
55,0.044646425739578575,0.03018965191491272,1.3706696448118791,0.0002117464736448196,0.7479604042094686,0.018612345377604166,,,0.0001,3.509002923965454,,,,,,,,
56,0.04411105552445287,0.029688826478693798,1.3674020508061284,0.0001852430957470737,0.746356813803963,0.019772574530707465,0.6499864459037781,3.0,0.0001,3.608975887298584,0.09785588085651398,0.045955490320920944,0.059783756732940674,0.6499864459037781,0.050076138228178024,0.05912414565682411,0.050770219415426254,0.12869039177894592
57,0.04346675539146299,0.02908004901331404,1.3640179063962854,0.00014154869954243463,0.7451124320859495,0.018542420281304255,,,0.0001,3.460650682449341,,,,,,,,
58,0.04369235767618469,0.029336319345494976,1.361044132191202,0.00015433806845027468,0.7440535244734391,0.018128684361775716,0.6504783630371094,3.0,0.0001,3.5486557483673096,0.10069973021745682,0.047913555055856705,0.0631350576877594,0.6504783630371094,0.049998801201581955,0.06242353841662407,0.05224037170410156,0.13145695626735687
59,0.04334993790025297,0.02901721494677274,1.3588051173997961,0.0001535119391400772,0.7431363722552424,0.017802690505981444,,,0.0001,3.438793897628784,,,,,,,,
60,0.043593455106019974,0.029289014232547386,1.356142935545548,0.00014821447099245194,0.7415299467418505,0.0185988892449273,0.6520900130271912,3.0,0.0001,3.5369112491607666,0.09276958554983139,0.04638338088989258,0.059880077838897705,0.6520900130271912,0.05435223504900932,0.05605028569698334,0.0506393164396286,0.13064086437225342
61,0.043470210679199386,0.029189745207195698,1.3538502662078193,0.00013990642353588635,0.7405649060788362,0.018248520533243814,,,0.0001,3.4118402004241943,,,,,,,,
62,0.04309681527640508,0.02884308961422547,1.3512600245683088,0.00014916412486775738,0.7396347859631414,0.01835354741414388,0.6480411887168884,3.0,0.0001,3.545983076095581,0.1006557047367096,0.04664649814367294,0.06130944937467575,0.6480411887168884,0.04956847429275513,0.06363405287265778,0.05354577302932739,0.13251164555549622
63,0.04313308178730633,0.02890169482840144,1.3492112937180891,0.0001539683378169961,0.7377344603123872,0.01790076658460829,,,0.0001,3.384514570236206,,,,,,,,
64,0.0431395356097947,0.028937284875175228,1.3463832243629124,0.00013801134058588144,0.7370386952939241,0.018691250695122612,0.6486201882362366,3.0,0.0001,3.5792012214660645,0.09545377641916275,0.043712448328733444,0.059629905968904495,0.6486201882362366,0.04730180278420448,0.05965796485543251,0.05114847049117088,0.13234351575374603
65,0.04285304118757662,0.028675616192428963,1.344049282695936,0.0001223695928828143,0.7357083066650059,0.01775968911912706,,,0.0001,3.4110817909240723,,,,,,,,
66,0.04269041542125785,0.028534155824910038,1.3420988787775454,0.00011659388648062621,0.7341057217639425,0.01719911575317383,0.6530376076698303,3.0,0.0001,3.5302953720092773,0.10360448062419891,0.046466510742902756,0.05929051339626312,0.6530376076698303,0.04664340242743492,0.05818980559706688,0.04996137693524361,0.13198032975196838
67,0.04262417846399805,0.028496442038727844,1.339352187903031,0.00011083817599169181,0.7331071288689323,0.01878905338711209,,,0.0001,3.4589829444885254,,,,,,,,
68,0.042798673005207725,0.028698173958970154,1.336778744407322,0.00011777722861354604,0.7315343126006748,0.01863232209947374,0.647509753704071,3.0,0.0001,3.5677173137664795,0.09534797072410583,0.04488833248615265,0.059516143053770065,0.647509753704071,0.04679819196462631,0.058428291231393814,0.04862961918115616,0.13219156861305237
69,0.0426363272835379,0.028556797734421234,1.3347868349241174,0.0001190171742168984,0.7304715721503549,0.017368793487548828,,,0.0001,3.4442362785339355,,,,,,,,
70,0.04247322403218435,0.028413634666282196,1.3328623460686726,0.00012102544196354954,0.7297554897225421,0.019284448835584854,0.6451040506362915,3.0,0.0001,3.5611839294433594,0.10808134824037552,0.045929212123155594,0.06160224974155426,0.6451040506362915,0.047071874141693115,0.06366205960512161,0.04752613976597786,0.13132667541503906
71,0.042112136826567025,0.028082906066075615,1.329963233159936,0.00010866403349412039,0.7285127069639123,0.01867943318684896,,,0.0001,3.430906057357788,,,,,,,,
72,0.04210690101203711,0.02810256393707317,1.3275317523790442,0.00015755662025185302,0.7274443222128827,0.017486248016357422,0.6444868445396423,3.0,0.0001,3.5287582874298096,0.10355158150196075,0.04551377147436142,0.061052072793245316,0.6444868445396423,0.04753865674138069,0.0625009760260582,0.04827228561043739,0.13456003367900848
73,0.04192765089480773,0.027948932479257168,1.3251060351081516,0.00013473933358909562,0.72631044232327,0.01750649494594998,,,0.0001,3.4662024974823,,,,,,,,
74,0.04257993059961692,0.028625504397179768,1.322805845219156,0.00011768200182932955,0.7251909738001616,0.01806393093532986,0.6589328646659851,3.0,0.0001,3.715526819229126,0.09856468439102173,0.04716739431023598,0.058639053255319595,0.6589328646659851,0.05434873327612877,0.05426676943898201,0.05105245113372803,0.13926205039024353
75,0.0422735925277938,0.028337236007918484,1.3209027466566667,0.00028887427723257923,0.724440204060596,0.018001895904541015,,,0.0001,3.4018020629882812,,,,,,,,
76,0.04187680780887604,0.027971846092006435,1.3180093143297278,0.0001754296425370621,0.7231148014897886,0.018319987614949546,0.6446976661682129,3.0,0.0001,3.565648078918457,0.10058791190385818,0.04587508738040924,0.05928639695048332,0.6446976661682129,0.0491262711584568,0.05354659631848335,0.05340241640806198,0.13072612881660461
77,0.042458589148262275,0.028567784020434254,1.3166943788528442,0.00017014399623882997,0.722160323806431,0.01875177510579427,,,0.0001,3.490222692489624,,,,,,,,
78,0.04211160022279491,0.028246770167480343,1.3142554293508115,0.00010431058288541745,0.7212330310241036,0.017437530517578126,0.6564770936965942,3.0,0.0001,3.5204267501831055,0.10208181291818619,0.04562612995505333,0.059290576726198196,0.6564770936965942,0.050758201628923416,0.0552804097533226,0.05117383226752281,0.13714666664600372
