epoch,train_total,train_recon,train_mixing,train_zero_recon,train_z_l2,val_recon,val_separation,sep_base,n_dup,tops,clean_max_corr,max_pair_corr,min_energy_ratio,n_dead,lr,sec,corr_e0_x_clean,corr_e1_x_clean,corr_e2_x_clean,corr_e3_x_clean,corr_e4_x_clean,corr_e5_x_clean,corr_e6_x_clean,corr_e7_x_clean,corr_e0_bw,corr_e1_bw,corr_e2_bw,corr_e3_bw,corr_e4_bw,corr_e5_bw,corr_e6_bw,corr_e7_bw,corr_e0_ma,corr_e1_ma,corr_e2_ma,corr_e3_ma,corr_e4_ma,corr_e5_ma,corr_e6_ma,corr_e7_ma,corr_e0_em,corr_e1_em,corr_e2_em,corr_e3_em,corr_e4_em,corr_e5_em,corr_e6_em,corr_e7_em
1,0.3814350645179334,0.3421629602494447,3.563936585965364,0.14439729042351246,2.1887657279553623,0.16725218822337962,0.02388693094253541,0.3238869309425354,2,5444,0.11407820880413055,0.7782204747200012,0.04853757843375206,0,0.001,4.973417520523071,0.09333856403827667,0.10226848721504211,0.0868576243519783,0.07800442725419998,0.1127256229519844,0.11407820880413055,0.08866041898727417,0.06942657381296158,0.3633655607700348,0.45421531796455383,0.3848875164985657,0.3092026114463806,0.534490704536438,0.493395060300827,0.3564014136791229,0.3333876132965088,0.30602213740348816,0.31904080510139465,0.305101603269577,0.26390525698661804,0.39645901322364807,0.38587671518325806,0.25588664412498474,0.2575693428516388,0.18823298811912537,0.2193797528743744,0.19957251846790314,0.1791500747203827,0.2505197525024414,0.23245981335639954,0.18862052261829376,0.17724449932575226
2,0.24919868487378824,0.2111923927846162,3.5194024106730586,0.03318652200877019,2.480405278827833,0.1472944810655382,0.04137260913848878,0.34137260913848877,2,4454,0.12173406779766083,0.8009555339813232,0.020867671817541122,0,0.001,4.511281967163086,0.09157713502645493,0.10285062342882156,0.09658157080411911,0.08928175270557404,0.12173406779766083,0.11923526972532272,0.0840592086315155,0.06827805191278458,0.29965588450431824,0.4665747284889221,0.3864619731903076,0.3240124583244324,0.5537768602371216,0.5166919231414795,0.29575642943382263,0.2699628472328186,0.2953492999076843,0.36305803060531616,0.36818936467170715,0.2686804234981537,0.42481082677841187,0.43992695212364197,0.28935152292251587,0.23457245528697968,0.17037102580070496,0.22875851392745972,0.20074954628944397,0.17392517626285553,0.25005263090133667,0.2364654541015625,0.15609215199947357,0.15501512587070465
3,0.2281377717204716,0.1915475466976995,3.424648803213368,0.02465336006539671,2.097205877304077,0.1285959630895544,-0.09558899402618404,0.3544110059738159,3,4444,0.12235558032989502,0.8126409649848938,0.02259247750043869,0,0.001,4.379559516906738,0.09498097747564316,0.09817798435688019,0.09795978665351868,0.08537489920854568,0.12235558032989502,0.11783680319786072,0.08325531333684921,0.07604061812162399,0.3006879985332489,0.48652422428131104,0.36610639095306396,0.29510360956192017,0.5807033777236938,0.4896080791950226,0.27912676334381104,0.2879627048969269,0.30742308497428894,0.3751804232597351,0.37178099155426025,0.25546950101852417,0.4511251151561737,0.42374616861343384,0.28524723649024963,0.2606804370880127,0.17103664577007294,0.24433478713035583,0.1922033131122589,0.1608097106218338,0.2634598910808563,0.23014366626739502,0.15259341895580292,0.16451291739940643
4,0.21451472005118494,0.17985979500024216,3.294201073439225,0.011286321602275839,1.6000508743783701,0.11724497703269676,-0.09106589555740352,0.35893410444259644,3,4444,0.1235482394695282,0.8098143935203552,0.017526622861623764,0,0.001,4.5333874225616455,0.10595536977052689,0.09967063367366791,0.10317803919315338,0.08697374165058136,0.1235482394695282,0.12026754766702652,0.11018512398004532,0.08941605687141418,0.29755347967147827,0.41524583101272583,0.35002264380455017,0.29765796661376953,0.5888006687164307,0.5117831230163574,0.28777480125427246,0.20107291638851166,0.3079862892627716,0.3244067430496216,0.36394354701042175,0.2666817605495453,0.4581429362297058,0.4402136504650116,0.26959747076034546,0.18433448672294617,0.16478696465492249,0.2128996104001999,0.19634073972702026,0.15566882491111755,0.2652445435523987,0.23690390586853027,0.2140115648508072,0.1443118155002594
5,0.20316832156284995,0.17016674966915793,3.160246113072271,0.008643596726672156,1.3126751754594885,0.11147336154513889,0.08190409541130067,0.38190409541130066,2,4446,0.12569575011730194,0.8049977421760559,0.013762777671217918,0,0.001,4.51894474029541,0.11489930748939514,0.1022023931145668,0.10938974469900131,0.08485013991594315,0.12569575011730194,0.12362151592969894,0.11176549643278122,0.08067112416028976,0.2750248908996582,0.45446017384529114,0.3538799583911896,0.286098837852478,0.5817365646362305,0.5031902194023132,0.25359228253364563,0.18226514756679535,0.283322274684906,0.3573499321937561,0.34664615988731384,0.2467956244945526,0.4777970314025879,0.4331246614456177,0.22607214748859406,0.15844771265983582,0.1886310875415802,0.22771666944026947,0.24111449718475342,0.16219256818294525,0.2634737491607666,0.23432238399982452,0.3423871099948883,0.21625511348247528
6,0.19399230441321497,0.16225733510825946,3.0472918697025464,0.005983289260336239,1.2022167236908623,0.10594939281322338,0.08810163736343385,0.38810163736343384,2,6446,0.13345856964588165,0.7758233547210693,0.006572940852493048,2,0.001,4.492487907409668,0.11836040019989014,0.10252727568149567,0.10323510318994522,0.080983005464077,0.1251024305820465,0.12440021336078644,0.13345856964588165,0.08073874562978745,0.24870912730693817,0.46139952540397644,0.32052701711654663,0.2685684263706207,0.5913645029067993,0.5024250745773315,0.2299542874097824,0.2157983034849167,0.25782841444015503,0.3675852417945862,0.3214266002178192,0.2367696762084961,0.4804200828075409,0.4380077123641968,0.22913417220115662,0.16668708622455597,0.19264589250087738,0.23080220818519592,0.2180398404598236,0.15270525217056274,0.27014240622520447,0.24197129905223846,0.34716343879699707,0.19606123864650726
7,0.19020334274872489,0.15963202974070673,2.9364959675332774,0.010895639728835744,1.097397171932718,0.10403919248227719,0.08970917463302613,0.3897091746330261,2,6446,0.15438055992126465,0.7985066771507263,0.023000208660960197,0,0.001,4.4510157108306885,0.13527800142765045,0.10147453844547272,0.11561137437820435,0.07760600000619888,0.12565091252326965,0.12274489551782608,0.15438055992126465,0.08174170553684235,0.26259613037109375,0.4304882884025574,0.38490939140319824,0.2633680999279022,0.5987271666526794,0.5103240013122559,0.18884694576263428,0.17595483362674713,0.2799438238143921,0.3403341770172119,0.3814246356487274,0.22928592562675476,0.483852744102478,0.4446977376937866,0.20821434259414673,0.14828859269618988,0.20760765671730042,0.21622541546821594,0.24524307250976562,0.15314656496047974,0.2711089849472046,0.24399639666080475,0.3218763470649719,0.17890769243240356
8,0.18219215584837872,0.15267531314621802,2.8375618250473686,0.009879699705735497,1.0424283846564915,0.10161385317201968,0.08756012916564943,0.3875601291656494,2,6446,0.16785959899425507,0.821010172367096,0.019783824682235718,0,0.001,4.495907783508301,0.13747724890708923,0.10330934077501297,0.11981657892465591,0.07603996992111206,0.12401385605335236,0.12193521112203598,0.16785959899425507,0.08356378972530365,0.298319935798645,0.4673435389995575,0.39622601866722107,0.2670942544937134,0.6047461032867432,0.5087302327156067,0.1377175748348236,0.23641976714134216,0.3053710162639618,0.3663056492805481,0.38619986176490784,0.22227701544761658,0.48074308037757874,0.4499014914035797,0.15863364934921265,0.21016313135623932,0.21415813267230988,0.23185530304908752,0.2437455803155899,0.14882011711597443,0.27373331785202026,0.24130557477474213,0.2968917489051819,0.18277324736118317
9,0.17233572381993997,0.1437649500110875,2.7422550657521123,0.013910332573172838,1.0091222809708638,0.09979125524450232,0.07590479850769044,0.37590479850769043,2,6444,0.16397719085216522,0.7830418348312378,0.020604636520147324,0,0.001,4.5280351638793945,0.13967522978782654,0.10337093472480774,0.12552815675735474,0.08104671537876129,0.12395177036523819,0.121430404484272,0.16397719085216522,0.08843595534563065,0.25527483224868774,0.4435723125934601,0.3699476718902588,0.296138197183609,0.5915793180465698,0.5013235211372375,0.09552505612373352,0.2623848617076874,0.2642011046409607,0.37105920910835266,0.36226871609687805,0.26790207624435425,0.4773671329021454,0.43019840121269226,0.10327544063329697,0.23016490042209625,0.20388676226139069,0.23235411942005157,0.2390231341123581,0.158370703458786,0.27069562673568726,0.242213636636734,0.2687146067619324,0.1857522875070572
10,0.16189321940359863,0.1342456755430802,2.6564220449198848,0.013191405400309874,0.9514087283092997,0.09295032642505786,0.08374811410903932,0.3837481141090393,2,6444,0.17739105224609375,0.7796740531921387,0.014711867086589336,0,0.001,4.548039674758911,0.16381493210792542,0.1007983535528183,0.14182817935943604,0.08270511031150818,0.12447850406169891,0.12817633152008057,0.17739105224609375,0.08963993191719055,0.2434907704591751,0.4063778221607208,0.3656632602214813,0.3100231885910034,0.5939428806304932,0.5082212090492249,0.05580397695302963,0.14174942672252655,0.25522446632385254,0.3311048150062561,0.34186631441116333,0.2657947838306427,0.4891149699687958,0.44372501969337463,0.07291515916585922,0.12759557366371155,0.2108806073665619,0.21302977204322815,0.26835763454437256,0.16546744108200073,0.27454355359077454,0.2597561776638031,0.26053646206855774,0.15919283032417297
