epoch,train_total,train_recon,train_mixing,train_zero_recon,train_z_l2,val_recon,val_separation,sep_base,n_dup,tops,clean_max_corr,max_pair_corr,min_energy_ratio,n_dead,lr,sec,corr_e0_x_clean,corr_e1_x_clean,corr_e2_x_clean,corr_e3_x_clean,corr_e4_x_clean,corr_e5_x_clean,corr_e6_x_clean,corr_e7_x_clean,corr_e0_bw,corr_e1_bw,corr_e2_bw,corr_e3_bw,corr_e4_bw,corr_e5_bw,corr_e6_bw,corr_e7_bw,corr_e0_ma,corr_e1_ma,corr_e2_ma,corr_e3_ma,corr_e4_ma,corr_e5_ma,corr_e6_ma,corr_e7_ma,corr_e0_em,corr_e1_em,corr_e2_em,corr_e3_em,corr_e4_em,corr_e5_em,corr_e6_em,corr_e7_em
1,0.39619368055592413,0.3443711050178694,3.573545404102491,0.1396974447770449,1.4690150592638098,0.1691210824471933,0.09357042312622071,0.3935704231262207,2,222,0.1141791045665741,0.4416324198246002,0.0484396331012249,0,0.001,4.6770265102386475,0.10028452426195145,0.09263520687818527,0.1141791045665741,0.08748077601194382,0.08751264959573746,0.09180948883295059,0.09000705182552338,0.0885959193110466,0.41904786229133606,0.37858808040618896,0.5429556965827942,0.4155358076095581,0.3476279675960541,0.3887094557285309,0.35587844252586365,0.37349843978881836,0.3537076711654663,0.30819234251976013,0.38988053798675537,0.2997828423976898,0.28446251153945923,0.31909140944480896,0.3074128329753876,0.3048999011516571,0.21641458570957184,0.19554832577705383,0.24787506461143494,0.21827661991119385,0.18767181038856506,0.20679670572280884,0.1843813806772232,0.20630566775798798
2,0.25300389528274536,0.2100475540627604,3.550687022831129,0.03276161451408963,0.7121857093728107,0.13480887405960648,0.12629054188728334,0.4262905418872833,2,222,0.12142598628997803,0.5859676003456116,0.0053809648379683495,2,0.001,4.3900792598724365,0.0986066684126854,0.10241202265024185,0.12142598628997803,0.09718877077102661,0.08707453310489655,0.09702714532613754,0.09210477769374847,0.08862555027008057,0.4201996326446533,0.4074857234954834,0.5784996151924133,0.4537012279033661,0.3604271113872528,0.41586530208587646,0.44652703404426575,0.4129323661327362,0.3685644268989563,0.312441885471344,0.44075238704681396,0.3512808084487915,0.314574658870697,0.38218066096305847,0.36931049823760986,0.3512517511844635,0.21715813875198364,0.1972305178642273,0.2596195638179779,0.20688427984714508,0.1996040791273117,0.2074064165353775,0.20799633860588074,0.20296873152256012
3,0.23272986386133276,0.19418081187683603,3.4652233538420303,0.005514534902708281,0.3841673187587572,0.14789718062789353,0.12471805214881898,0.42471805214881897,2,222,0.12367592751979828,0.5682232975959778,0.03725568205118179,0,0.001,4.284141540527344,0.0886109471321106,0.0942169576883316,0.12367592751979828,0.10191839933395386,0.08465022593736649,0.10319831967353821,0.08657828718423843,0.08793387562036514,0.34272196888923645,0.35125353932380676,0.576153576374054,0.4108320474624634,0.3371158838272095,0.40177711844444275,0.40667325258255005,0.3508935868740082,0.32424378395080566,0.2946755588054657,0.44018620252609253,0.35245904326438904,0.2840672433376312,0.36071521043777466,0.3496990203857422,0.32827645540237427,0.17997859418392181,0.1850268840789795,0.25781434774398804,0.19862407445907593,0.1873631477355957,0.2001686990261078,0.1930040717124939,0.19089475274085999
4,0.22226694614990897,0.18582401780978494,3.361326300579569,0.016691699968246015,0.2662749828203865,0.12351397252965857,0.14191324710845948,0.4419132471084595,2,222,0.12282883375883102,0.6467311382293701,0.05632343888282776,0,0.001,4.3428590297698975,0.09116378426551819,0.09575897455215454,0.12282883375883102,0.0916929766535759,0.08507761359214783,0.10767077654600143,0.09124601632356644,0.08882874995470047,0.35402750968933105,0.3325815498828888,0.5961973667144775,0.33296552300453186,0.300129234790802,0.3485138714313507,0.3698548972606659,0.37250182032585144,0.3318232595920563,0.2880922555923462,0.46101394295692444,0.31063956022262573,0.2562073767185211,0.32586225867271423,0.3416547179222107,0.34220558404922485,0.18445847928524017,0.18081600964069366,0.26852846145629883,0.18119050562381744,0.17337138950824738,0.1821897029876709,0.17833483219146729,0.18642175197601318
5,0.21798346742339755,0.1832327479901521,3.244133576102879,0.01692088376528219,0.21401741193688434,0.1210399486400463,0.13305817246437074,0.4330581724643707,2,222,0.13087278604507446,0.6647009253501892,0.08256248384714127,0,0.001,4.272610187530518,0.08841864764690399,0.09637439250946045,0.12314695864915848,0.09415164589881897,0.08082568645477295,0.13087278604507446,0.08945312350988388,0.09075606614351273,0.3441440761089325,0.349062442779541,0.5797557830810547,0.2164035141468048,0.26204684376716614,0.34738385677337646,0.3797138035297394,0.3503894805908203,0.3105553388595581,0.2976718544960022,0.4566097557544708,0.20480166375637054,0.22894154489040375,0.31265556812286377,0.33075442910194397,0.33050715923309326,0.17862895131111145,0.18053336441516876,0.26280900835990906,0.25241032242774963,0.15893781185150146,0.2066885232925415,0.18884260952472687,0.18120066821575165
6,0.1997939179772916,0.16620511270087698,3.141386260157046,0.011023443042928271,0.2064710330703984,0.11057181916413483,0.3119476497173309,0.46194764971733093,1,223,0.13880588114261627,0.6127184629440308,0.0017104641301557422,3,0.001,4.277985334396362,0.08446860313415527,0.09566598385572433,0.12547120451927185,0.09465732425451279,0.07775183767080307,0.13880588114261627,0.08582992851734161,0.08999697864055634,0.330112099647522,0.35512134432792664,0.5970193147659302,0.15958990156650543,0.25737693905830383,0.3701436221599579,0.3910311460494995,0.3423762917518616,0.31531867384910583,0.3101826608181,0.4760589301586151,0.15484978258609772,0.21363931894302368,0.3273833096027374,0.3287948966026306,0.3349766731262207,0.18234114348888397,0.18345177173614502,0.2707063555717468,0.3127646744251251,0.1543658971786499,0.2628251314163208,0.19383478164672852,0.1879718005657196
7,0.1916656416395436,0.15964091860729715,3.0231717565785283,0.0019964015518780798,0.1773039990145227,0.10607980685763889,0.3098361551761627,0.4598361551761627,1,223,0.14221477508544922,0.5434876680374146,0.009205988608300686,1,0.001,4.2740418910980225,0.08788453042507172,0.09891773015260696,0.12614208459854126,0.12536610662937164,0.07675023376941681,0.14221477508544922,0.08834680914878845,0.09631962329149246,0.37423065304756165,0.34426388144493103,0.5986218452453613,0.1341496855020523,0.262880802154541,0.33885103464126587,0.4319978356361389,0.34660574793815613,0.3494803309440613,0.30631694197654724,0.4744706153869629,0.14464811980724335,0.22901302576065063,0.30257776379585266,0.35659730434417725,0.35327744483947754,0.20114296674728394,0.18330055475234985,0.2718041241168976,0.30641600489616394,0.16212770342826843,0.27131062746047974,0.21045170724391937,0.19444312155246735
8,0.18934128336284473,0.1583433740812799,2.915282850680144,0.010105105709163066,0.17440315886684085,0.10583093713831018,0.3103440761566162,0.4603440761566162,1,223,0.13835178315639496,0.5866068601608276,0.02610979788005352,0,0.001,4.293349266052246,0.08696223050355911,0.0965631976723671,0.1258150339126587,0.1348000019788742,0.08001958578824997,0.13835178315639496,0.08825485408306122,0.1011682078242302,0.41453641653060913,0.36647048592567444,0.5988525152206421,0.14555487036705017,0.2915518581867218,0.3446049690246582,0.43766605854034424,0.3724997937679291,0.3698034882545471,0.3274693489074707,0.4771000146865845,0.14864708483219147,0.2529996335506439,0.29895392060279846,0.3527853190898895,0.37592750787734985,0.2119864672422409,0.1839548647403717,0.27339139580726624,0.30507972836494446,0.1708379089832306,0.27676042914390564,0.21738937497138977,0.21109142899513245
9,0.17892504321492236,0.14922617958939594,2.8089187145233154,0.000981032702839002,0.15998638648053873,0.09923405626085069,0.3176948487758636,0.46769484877586365,1,223,0.144698366522789,0.5679572820663452,0.006105090957134962,1,0.001,4.412898302078247,0.09034841507673264,0.09691289067268372,0.12567223608493805,0.144698366522789,0.0746668130159378,0.13580824434757233,0.08544266223907471,0.09961343556642532,0.41715726256370544,0.35080185532569885,0.6046350002288818,0.10208424180746078,0.2715250849723816,0.29354017972946167,0.4399101734161377,0.3509915769100189,0.3745657801628113,0.31763312220573425,0.48051589727401733,0.12301769852638245,0.2348807156085968,0.2758692800998688,0.3539467751979828,0.3560584783554077,0.21059319376945496,0.18536297976970673,0.2757296562194824,0.3179335296154022,0.16566462814807892,0.28478458523750305,0.21648526191711426,0.20194882154464722
10,0.17006674344125,0.1415298587602118,2.703626643056455,0.001033362618055316,0.1490284943062326,0.09530108529550058,0.3063086926937103,0.4563086926937103,1,223,0.20679450035095215,0.5574893951416016,0.004605100955814123,1,0.001,4.348547697067261,0.08246761560440063,0.09658435732126236,0.12532532215118408,0.20679450035095215,0.0769541934132576,0.12177281081676483,0.0857887864112854,0.09804978221654892,0.37594982981681824,0.37406593561172485,0.6042320132255554,0.11720070242881775,0.2973198890686035,0.22762449085712433,0.4487859010696411,0.36835312843322754,0.3523375689983368,0.3348669111728668,0.4810408651828766,0.11724970489740372,0.24587252736091614,0.2368544042110443,0.35167843103408813,0.3382943272590637,0.19795629382133484,0.18920518457889557,0.2754669487476349,0.2836531400680542,0.16479729115962982,0.2544180750846863,0.21420753002166748,0.19665218889713287
