epoch,train_total,train_recon,train_mixing,train_zero_recon,train_z_l2,val_recon,val_separation,max_pair_corr,min_energy_ratio,n_dead,lr,sec,corr_e0_x_clean,corr_e1_x_clean,corr_e2_x_clean,corr_e3_x_clean,corr_e4_x_clean,corr_e5_x_clean,corr_e6_x_clean,corr_e7_x_clean,corr_e0_bw,corr_e1_bw,corr_e2_bw,corr_e3_bw,corr_e4_bw,corr_e5_bw,corr_e6_bw,corr_e7_bw,corr_e0_ma,corr_e1_ma,corr_e2_ma,corr_e3_ma,corr_e4_ma,corr_e5_ma,corr_e6_ma,corr_e7_ma,corr_e0_em,corr_e1_em,corr_e2_em,corr_e3_em,corr_e4_em,corr_e5_em,corr_e6_em,corr_e7_em
1,0.372627278384955,0.353885376582975,3.5795647476030434,0.06602423804123765,1.4502091355945752,0.17580015281394676,0.3592463731765747,0.5310152769088745,0.10682934522628784,0,0.001,4.802597284317017,0.1004561185836792,0.10233823955059052,0.10785671323537827,0.09882607311010361,0.08904726803302765,0.10077199339866638,0.08880329877138138,0.09126002341508865,0.39813536405563354,0.4469161033630371,0.4691767394542694,0.4759370684623718,0.35904109477996826,0.4178599715232849,0.4550788700580597,0.4356752634048462,0.32127517461776733,0.34330734610557556,0.3323957622051239,0.3343043029308319,0.3026934564113617,0.36722326278686523,0.3591254651546478,0.33646655082702637,0.21526741981506348,0.2091519981622696,0.21855781972408295,0.23457880318164825,0.20126037299633026,0.2112085074186325,0.22280429303646088,0.21377763152122498
2,0.2179479190836782,0.20643929294917895,3.596236975296684,0.012489788092510857,0.7787490137245344,0.1411742892795139,0.4074126183986664,0.5003435015678406,0.08876785635948181,0,0.001,4.5425543785095215,0.08089762181043625,0.10404861718416214,0.1169978678226471,0.0970793142914772,0.07268056273460388,0.09930161386728287,0.08615955710411072,0.07819410413503647,0.2926081717014313,0.41605743765830994,0.5472526550292969,0.4344576597213745,0.262446790933609,0.3996226191520691,0.404604434967041,0.3556429147720337,0.26468515396118164,0.35004112124443054,0.4209917187690735,0.3423660695552826,0.2215665727853775,0.3587228059768677,0.3292427659034729,0.30082133412361145,0.16268935799598694,0.20002442598342896,0.2539934515953064,0.217815101146698,0.15212289988994598,0.20626769959926605,0.20792646706104279,0.19233673810958862
3,0.2021687976692034,0.19471611017766205,3.5944948300071387,0.005438246587088898,0.3803810036700705,0.1333256881148727,0.42635783553123474,0.49126023054122925,0.011685743927955627,0,0.001,4.4585747718811035,0.09409523755311966,0.09876032173633575,0.11822307854890823,0.08109603822231293,0.0691775232553482,0.09848381578922272,0.07312553375959396,0.07980336993932724,0.33476153016090393,0.4221263825893402,0.5758280158042908,0.34979501366615295,0.2658237814903259,0.39482584595680237,0.2901790142059326,0.31282809376716614,0.3163599669933319,0.34017547965049744,0.4380131661891937,0.29145464301109314,0.21599046885967255,0.3430846631526947,0.24142688512802124,0.2574668824672699,0.1791142374277115,0.21096068620681763,0.26523226499557495,0.18458056449890137,0.15432867407798767,0.20767027139663696,0.16431893408298492,0.17287886142730713
4,0.18972427430360214,0.1832951799682949,3.586923246798308,0.003721481376408559,0.2804955250543097,0.11875052671079282,0.42389169335365295,0.543428361415863,0.0031190181616693735,1,0.001,4.422108173370361,0.08840823173522949,0.10439149290323257,0.11452726274728775,0.09233574569225311,0.06308697909116745,0.11194905638694763,0.07893829047679901,0.0805581659078598,0.2977418601512909,0.45342007279396057,0.5675397515296936,0.4021165668964386,0.18433202803134918,0.40521466732025146,0.3383156359195709,0.3460373878479004,0.27413392066955566,0.35621964931488037,0.4412074685096741,0.3232327997684479,0.16054391860961914,0.3508002758026123,0.2711351811885834,0.29767271876335144,0.173863023519516,0.22097112238407135,0.2629278600215912,0.21035385131835938,0.12570585310459137,0.20704691112041473,0.1740768998861313,0.1980201005935669
5,0.1771298815374789,0.17139911651611328,3.5720182501751445,0.002434459309923746,0.21344028283720431,0.1124552906177662,0.4321979582309723,0.47156238555908203,0.002280701417475939,1,0.001,4.556753635406494,0.09799382835626602,0.08725143224000931,0.12045712023973465,0.06449243426322937,0.06233181059360504,0.10755808651447296,0.06810560822486877,0.07431355118751526,0.3296882212162018,0.30559977889060974,0.5740768909454346,0.20551329851150513,0.19734428822994232,0.3676416277885437,0.2740241587162018,0.27557137608528137,0.2995509207248688,0.279791921377182,0.4602375626564026,0.1772717982530594,0.17634998261928558,0.3103681206703186,0.22561143338680267,0.23540882766246796,0.20688122510910034,0.16683505475521088,0.26227954030036926,0.24171967804431915,0.1299857795238495,0.2165917605161667,0.16452111303806305,0.16096167266368866
6,0.16864887916523477,0.16306398614593173,3.557671173759129,0.0019992384907749038,0.2007227034672447,0.11437341534649884,0.4289156198501587,0.5937690138816833,0.00414816802367568,1,0.001,4.481748580932617,0.08791308850049973,0.08852939307689667,0.1185731366276741,0.08362062275409698,0.06373720616102219,0.09251829981803894,0.06638152152299881,0.07101822644472122,0.2681242823600769,0.328390508890152,0.5704163908958435,0.23340922594070435,0.1823946237564087,0.31653156876564026,0.2512314021587372,0.25564172863960266,0.24976615607738495,0.27360132336616516,0.4508506655693054,0.2054465264081955,0.16208644211292267,0.25178536772727966,0.21113945543766022,0.22517076134681702,0.16810131072998047,0.16790316998958588,0.26547980308532715,0.2013089507818222,0.12940599024295807,0.17789296805858612,0.14457805454730988,0.15002332627773285
7,0.16560042163600092,0.16014192415320355,3.5436935424804688,0.0015888990677447746,0.18989138110824252,0.10398075471100984,0.4263797104358673,0.5295366048812866,0.0020144444424659014,1,0.001,4.485769510269165,0.09299512952566147,0.10420457273721695,0.12497054040431976,0.10933548212051392,0.07011739164590836,0.10822217911481857,0.06914371997117996,0.0765651986002922,0.26025110483169556,0.4614798426628113,0.5569866299629211,0.26882269978523254,0.18970820307731628,0.42667675018310547,0.2696974277496338,0.3348024785518646,0.2363177090883255,0.34571823477745056,0.4587532877922058,0.23438720405101776,0.15827134251594543,0.33300045132637024,0.22224093973636627,0.29151996970176697,0.1740812361240387,0.21471059322357178,0.26339924335479736,0.25449344515800476,0.11605943739414215,0.23485378921031952,0.14076703786849976,0.17760604619979858
8,0.15762216111888055,0.15238107093002484,3.5283755115840747,0.0012046766097900336,0.1700665523176608,0.11641410884150752,0.3593510687351227,0.3801385760307312,0.0039137499406933784,1,0.001,4.490212440490723,0.09214479476213455,0.09674172103404999,0.11614638566970825,0.1058654934167862,0.06423067301511765,0.10420967638492584,0.0685877650976181,0.07826347649097443,0.26023462414741516,0.4344896376132965,0.45915940403938293,0.19569696485996246,0.18424829840660095,0.41191601753234863,0.23637425899505615,0.31779158115386963,0.23931151628494263,0.3296422064304352,0.38765671849250793,0.17891918122768402,0.15423434972763062,0.3293197751045227,0.20443931221961975,0.28279146552085876,0.17233794927597046,0.21107958257198334,0.23123708367347717,0.2263723760843277,0.13080108165740967,0.22345934808254242,0.14233729243278503,0.17565196752548218
9,0.15188616708568906,0.1466421650155731,3.514779049417247,0.001128816632958858,0.1717935781116071,0.09915605898256655,0.4195272922515869,0.4446737468242645,0.001567547908052802,2,0.001,4.497273206710815,0.10146956890821457,0.09649480134248734,0.12450895458459854,0.11113279312849045,0.064161516726017,0.11334209889173508,0.0672038346529007,0.0780787542462349,0.26047301292419434,0.43403154611587524,0.5428454279899597,0.18643169105052948,0.17327876389026642,0.40630200505256653,0.2392100691795349,0.3394663631916046,0.23112823069095612,0.337148517370224,0.45629197359085083,0.17561669647693634,0.15114997327327728,0.33355802297592163,0.20408222079277039,0.29225561022758484,0.18356767296791077,0.21304520964622498,0.25944453477859497,0.25449225306510925,0.124545618891716,0.22987419366836548,0.14088453352451324,0.17288781702518463
10,0.14008181866096414,0.13487163412830103,3.502413459446119,0.0012081185755643833,0.16956900189752164,0.09686531010380497,0.37222397327423096,0.38369157910346985,0.001726139453239739,3,0.001,4.588008403778076,0.13210730254650116,0.08945132791996002,0.11794472485780716,0.11818869411945343,0.06753053516149521,0.10434070974588394,0.06944787502288818,0.0750039666891098,0.1807459145784378,0.3745115101337433,0.4524398446083069,0.1268473118543625,0.2247227281332016,0.3184821605682373,0.28153449296951294,0.279587060213089,0.1738620400428772,0.30041101574897766,0.39902740716934204,0.12838301062583923,0.1904476284980774,0.261491984128952,0.2288305163383484,0.24452777206897736,0.16108745336532593,0.19682538509368896,0.2265254110097885,0.26520463824272156,0.13765037059783936,0.21179060637950897,0.14878427982330322,0.1583172231912613
